vibration,temperature,rpm,noise_level,oil_pressure,fault_type
3.86,89.8,2181.0,58.7,77.3,normal
0.73,72.9,1413.0,43.9,29.2,brake
3.37,91.3,1966.0,52.1,76.3,transmission
4.06,62.1,3362.0,47.1,53.7,suspension
4.95,103.4,3724.0,63.4,79.6,normal
2.54,67.6,2168.0,33.1,54.4,engine
9.07,66.7,1186.0,43.5,59.4,transmission
2.85,116.8,1128.0,51.3,65.0,suspension
8.52,106.4,4157.0,85.7,69.3,brake
4.45,84.9,3440.0,67.4,48.7,brake
7.18,74.4,3776.0,60.3,60.7,normal
1.11,110.6,2697.0,41.4,56.9,suspension
5.45,118.1,2558.0,63.5,44.4,normal
9.61,90.5,1450.0,85.7,69.2,transmission
6.66,94.8,1258.0,64.0,31.5,normal
8.2,74.6,1193.0,39.9,30.0,engine
2.61,95.4,4963.0,89.8,64.2,normal
8.0,84.0,4194.0,59.9,58.2,normal
3.51,110.7,3318.0,49.2,39.1,transmission
4.85,82.6,1465.0,60.2,58.1,suspension
1.88,98.9,2019.0,45.8,66.2,engine
4.86,72.2,2079.0,31.8,33.0,normal
5.16,65.4,2650.0,83.4,54.9,transmission
6.22,62.4,2399.0,55.7,69.5,transmission
8.69,84.9,4704.0,75.2,44.7,transmission
3.05,69.8,3744.0,88.3,54.3,suspension
9.84,119.6,866.0,68.0,24.7,normal
8.48,107.9,2120.0,71.5,69.8,brake
4.03,101.6,1098.0,86.6,67.8,engine
2.27,108.2,1757.0,61.0,47.4,brake
0.71,75.8,4815.0,49.2,27.2,suspension
2.34,112.8,3674.0,85.3,59.6,normal
8.85,119.7,535.0,34.1,54.4,brake
2.92,77.4,1980.0,42.9,75.2,brake
1.38,119.1,2474.0,50.5,36.8,brake
0.23,79.2,3211.0,76.9,21.9,engine
2.98,60.7,2749.0,84.2,35.3,normal
2.16,82.0,814.0,57.1,45.7,transmission
1.02,119.9,2820.0,47.2,29.3,normal
9.51,98.1,1086.0,51.2,78.8,brake
2.68,101.7,2836.0,69.4,33.3,normal
0.06,74.3,1607.0,39.5,60.7,transmission
9.44,68.8,1149.0,62.8,47.2,engine
5.79,113.1,1796.0,65.3,53.3,normal
0.83,84.8,948.0,72.5,76.0,normal
0.31,60.2,1778.0,66.2,51.9,engine
1.08,77.7,4401.0,35.8,38.3,engine
5.91,71.7,1882.0,71.3,33.2,brake
0.62,96.2,2616.0,31.3,73.5,brake
5.68,105.4,2839.0,53.4,79.2,engine
6.53,89.8,1302.0,55.0,35.1,transmission
1.48,71.2,2488.0,37.0,63.3,brake
4.88,63.5,4338.0,30.6,50.3,transmission
9.64,78.8,862.0,34.3,61.9,engine
8.36,108.4,4653.0,56.8,77.9,normal
7.23,85.2,4420.0,44.4,36.6,engine
5.18,75.1,4351.0,34.1,64.4,engine
3.94,61.2,1393.0,45.4,46.3,suspension
4.51,89.8,2679.0,61.7,59.2,engine
7.65,101.1,3273.0,74.5,44.4,brake
5.54,71.4,950.0,54.7,62.5,normal
7.65,92.2,3006.0,66.8,40.3,transmission
9.7,85.2,4280.0,65.8,49.3,suspension
6.41,102.2,4714.0,83.8,62.5,brake
6.03,111.6,1752.0,40.8,22.6,normal
4.06,78.4,1799.0,58.6,39.7,transmission
1.97,114.3,1718.0,67.9,52.8,normal
3.74,102.4,1191.0,61.2,24.4,brake
5.2,62.2,2438.0,57.0,62.2,normal
0.35,107.5,4030.0,88.4,68.8,engine
4.76,89.7,3704.0,86.5,29.8,normal
8.62,116.7,4551.0,66.7,64.0,engine
9.77,79.4,2101.0,56.4,58.8,brake
8.56,95.5,3075.0,75.3,44.7,suspension
1.72,117.4,3949.0,60.8,29.9,engine
1.55,76.3,4542.0,89.7,77.3,normal
3.93,88.3,4423.0,71.2,47.8,normal
2.25,105.1,2595.0,34.1,31.0,normal
6.76,101.5,4581.0,54.1,63.1,brake
0.85,110.3,2498.0,73.8,56.5,transmission
4.44,91.2,4563.0,80.5,69.0,normal
2.8,79.1,3996.0,78.8,79.8,normal
5.95,92.1,1497.0,88.6,22.7,engine
7.97,81.0,4684.0,59.3,64.4,suspension
9.24,70.6,1591.0,38.4,79.3,normal
9.64,93.3,4588.0,69.1,52.3,brake
3.51,62.9,3268.0,34.2,62.9,transmission
8.56,62.2,3503.0,88.4,46.5,transmission
5.92,63.9,992.0,75.5,41.4,transmission
6.92,100.4,796.0,88.9,61.8,brake
8.51,84.4,4858.0,52.6,79.3,transmission
1.3,89.6,2016.0,30.9,25.5,transmission
9.47,80.6,4300.0,61.3,45.3,engine
5.47,75.2,3670.0,37.3,76.4,transmission
3.36,81.5,3219.0,70.8,26.8,engine
3.39,71.6,3583.0,59.9,59.1,engine
7.51,100.7,902.0,75.2,45.8,engine
6.79,66.1,2356.0,47.5,42.6,brake
7.29,91.0,3232.0,79.7,32.6,normal
2.53,88.6,4404.0,69.0,30.6,suspension
1.7,78.1,3716.0,89.3,51.0,transmission
7.22,66.1,1638.0,40.7,42.6,suspension
