relative_compactness,surface_area,wall_area,roof_area,overall_height,orientation,glazing_area,heating_load,cooling_load
0.66,607.7,280.3,198.5,3.5,4,0.1,21.51,27.17
0.7,568.5,397.5,209.3,3.5,5,0.0,25.71,37.01
0.92,681.3,288.1,124.6,3.5,3,0.0,32.47,13.09
0.69,534.7,341.5,186.0,3.5,3,0.1,16.49,20.19
0.96,712.9,380.8,214.5,3.5,3,0.25,24.69,34.36
0.82,558.0,301.9,211.0,7.0,3,0.4,15.38,45.86
0.63,671.6,339.9,201.8,7.0,3,0.1,23.0,33.59
0.61,621.7,321.1,115.3,3.5,5,0.0,18.75,43.57
0.91,675.5,376.8,137.8,3.5,4,0.25,19.65,46.8
0.94,576.2,326.2,126.3,7.0,4,0.1,27.44,43.59
0.7,596.2,342.0,212.0,7.0,2,0.25,31.52,46.94
0.7,543.5,392.2,192.4,3.5,3,0.1,6.47,39.53
0.98,740.9,365.8,168.5,7.0,4,0.1,38.44,43.71
0.86,521.7,335.0,217.7,3.5,4,0.25,19.48,28.68
0.67,616.7,323.0,131.4,3.5,5,0.25,29.81,23.13
0.78,639.2,262.8,180.6,7.0,5,0.25,10.53,47.99
0.96,560.5,250.1,177.0,7.0,2,0.25,27.14,13.71
0.85,619.3,411.5,147.4,7.0,2,0.1,31.1,46.41
0.76,629.6,273.6,163.4,3.5,4,0.4,11.83,26.37
0.66,569.5,289.8,135.9,7.0,2,0.25,39.75,10.85
0.89,698.2,350.0,184.5,3.5,4,0.1,34.03,40.51
0.71,509.6,389.0,156.0,7.0,5,0.25,25.76,26.88
0.83,561.2,390.0,112.6,3.5,2,0.4,12.14,40.35
0.84,693.5,389.3,214.6,3.5,4,0.1,38.03,11.7
0.82,694.5,416.1,165.2,3.5,4,0.4,8.54,47.02
0.7,582.2,250.0,187.6,7.0,5,0.1,10.26,35.5
0.88,711.7,312.0,131.7,7.0,4,0.1,31.83,11.82
0.83,645.6,404.4,124.0,3.5,3,0.25,15.39,10.18
0.76,663.4,324.1,209.3,7.0,3,0.4,22.99,32.57
0.62,603.1,396.8,175.0,7.0,4,0.0,25.94,47.11
0.73,805.1,243.2,164.3,3.5,2,0.4,22.95,29.91
0.74,728.6,330.8,167.3,7.0,3,0.0,9.1,23.45
0.92,577.0,406.0,136.0,7.0,3,0.4,33.29,45.68
0.81,573.3,287.0,210.4,3.5,3,0.25,14.88,47.39
0.97,740.0,407.3,133.6,7.0,3,0.4,33.33,39.81
0.9,620.3,241.5,127.4,3.5,2,0.4,38.02,37.28
0.82,528.4,254.2,212.3,7.0,5,0.0,25.85,10.08
0.67,511.0,325.8,138.3,7.0,2,0.0,32.14,21.92
0.69,628.3,259.1,204.9,7.0,5,0.4,7.37,45.16
0.66,628.6,280.6,195.0,7.0,3,0.25,7.36,23.99
0.78,719.1,293.6,152.0,3.5,3,0.0,13.3,22.71
0.89,678.2,326.7,137.9,3.5,2,0.25,19.26,30.41
0.9,738.7,310.3,193.5,7.0,2,0.0,12.76,27.02
0.64,598.5,406.0,175.7,7.0,5,0.1,29.49,42.63
0.8,693.5,399.5,137.9,7.0,2,0.1,16.24,13.1
0.79,774.6,374.7,208.0,7.0,4,0.1,37.29,35.03
0.78,521.5,358.7,189.3,7.0,2,0.1,26.74,36.49
0.72,719.6,276.8,210.0,3.5,3,0.1,19.99,43.44
0.79,721.9,348.3,158.1,7.0,2,0.1,39.04,25.8
0.81,746.1,266.5,124.1,7.0,3,0.25,36.65,21.21
0.84,583.4,321.5,211.6,7.0,4,0.25,36.34,33.81
0.75,629.1,323.1,176.2,3.5,3,0.0,32.95,37.55
0.98,574.3,364.1,176.7,3.5,2,0.4,28.73,16.5
0.74,595.7,390.3,174.3,3.5,5,0.4,19.57,16.01
0.96,800.2,297.7,162.0,3.5,4,0.4,21.64,20.02
0.92,638.2,247.4,138.1,7.0,4,0.4,29.94,19.42
0.79,763.1,248.5,177.4,3.5,2,0.1,12.4,38.52
0.8,746.4,397.5,189.0,3.5,4,0.4,36.63,30.17
0.95,637.8,327.5,210.8,7.0,3,0.1,40.73,30.82
0.8,807.6,284.6,117.9,3.5,5,0.4,9.63,10.56
0.87,760.6,245.8,138.0,7.0,2,0.0,6.83,47.78
0.92,649.6,335.2,195.4,3.5,4,0.25,11.28,41.53
0.96,596.0,264.7,195.3,3.5,3,0.1,34.12,26.86
0.69,523.3,315.1,133.3,3.5,3,0.25,9.99,12.54
0.99,644.1,332.9,130.3,7.0,4,0.4,19.77,36.38
0.99,611.6,281.3,150.4,3.5,2,0.25,8.34,30.33
0.72,720.5,275.8,116.9,7.0,3,0.4,22.0,35.75
0.85,506.1,243.6,190.3,3.5,4,0.25,28.34,35.75
0.62,757.7,345.4,183.7,3.5,2,0.25,29.25,15.88
0.67,629.2,276.1,204.5,7.0,2,0.4,25.2,22.49
0.83,645.6,398.1,157.3,3.5,3,0.4,40.71,10.67
0.86,556.7,348.7,180.0,3.5,2,0.1,25.65,47.33
0.81,790.6,340.2,214.9,7.0,5,0.25,37.79,40.65
0.88,623.5,330.8,215.5,7.0,3,0.1,42.74,45.29
0.92,761.2,278.8,117.8,3.5,2,0.4,14.5,11.68
0.67,573.6,414.5,110.2,7.0,5,0.4,15.82,29.01
0.86,530.0,414.1,215.6,7.0,5,0.0,25.31,38.4
0.83,697.1,297.8,168.9,7.0,3,0.0,12.75,13.94
0.65,805.2,379.7,187.0,3.5,4,0.0,26.87,39.53
0.69,700.6,261.5,210.4,3.5,2,0.4,31.32,34.61
0.77,688.7,380.5,157.6,7.0,5,0.25,8.23,47.43
0.95,637.1,291.5,158.5,3.5,3,0.4,31.21,15.35
0.69,588.0,292.0,128.4,3.5,2,0.4,11.9,33.91
0.67,633.6,331.3,209.6,7.0,4,0.0,17.07,45.99
0.89,546.2,310.6,181.2,3.5,2,0.25,33.34,38.26
0.99,581.2,261.2,129.8,7.0,4,0.1,12.05,22.77
0.78,651.1,346.8,171.6,7.0,2,0.0,25.67,14.53
0.74,544.9,278.5,146.1,3.5,2,0.4,27.8,46.62
0.7,745.4,320.0,126.2,3.5,4,0.4,12.08,12.73
0.62,503.6,281.6,130.0,7.0,4,0.25,16.17,47.06
0.67,599.7,394.4,171.5,3.5,3,0.1,28.44,21.53
0.64,660.2,300.8,172.1,7.0,3,0.25,23.06,42.69
0.8,788.0,399.7,196.9,3.5,4,0.25,30.42,31.06
0.99,677.8,298.7,137.3,7.0,5,0.1,37.62,44.68
0.91,591.4,272.3,210.7,3.5,2,0.1,11.0,26.21
0.84,609.2,343.8,167.0,7.0,4,0.0,8.61,42.29
0.79,605.1,339.9,132.5,3.5,5,0.25,30.67,19.06
0.85,555.9,351.4,155.5,7.0,5,0.0,34.51,27.74
0.75,544.9,294.4,211.6,7.0,3,0.25,22.62,42.16
0.67,649.0,297.6,162.6,3.5,3,0.25,20.57,14.5
0.84,583.8,282.7,206.2,3.5,2,0.0,28.08,37.69
0.81,528.5,407.1,127.6,7.0,3,0.0,26.4,26.6
0.98,567.1,362.9,210.5,7.0,2,0.25,24.14,29.5
0.86,661.4,376.1,157.4,3.5,4,0.4,36.29,32.0
0.91,579.6,274.9,213.0,3.5,2,0.1,12.42,20.48
0.64,573.7,359.1,205.3,7.0,3,0.25,31.2,13.66
0.9,692.4,377.3,182.6,7.0,3,0.0,33.43,10.71
0.99,713.7,301.6,184.0,3.5,5,0.4,39.35,26.38
0.86,574.8,268.4,133.3,3.5,3,0.25,40.97,20.22
0.9,646.4,365.5,176.3,7.0,5,0.25,24.79,34.05
0.99,737.0,350.0,170.4,7.0,3,0.4,22.04,37.21
0.76,713.9,343.6,146.8,7.0,5,0.1,24.64,29.14
0.93,521.5,272.9,165.6,7.0,2,0.1,33.11,33.52
0.76,611.6,287.2,212.2,3.5,2,0.1,6.64,31.31
0.77,724.2,352.5,110.6,7.0,2,0.0,12.44,10.17
0.86,555.6,350.4,155.9,3.5,5,0.1,39.58,41.98
0.7,560.7,339.9,146.7,7.0,2,0.4,13.23,12.26
1.0,695.4,378.3,215.7,3.5,4,0.4,14.45,25.59
0.73,588.0,386.6,217.1,7.0,2,0.25,40.76,14.22
0.65,600.4,289.8,174.4,3.5,2,0.1,16.89,35.17
0.73,662.1,268.4,170.5,7.0,5,0.0,16.75,22.37
0.94,732.7,276.2,209.4,7.0,2,0.4,40.18,12.7
0.73,654.5,290.6,110.7,3.5,3,0.0,19.88,11.72
0.84,777.0,410.6,171.9,3.5,5,0.4,24.28,19.01
0.97,533.1,264.7,112.7,3.5,2,0.4,26.74,35.36
0.7,733.8,398.2,216.5,7.0,4,0.4,38.13,37.29
0.65,668.5,276.6,145.2,3.5,5,0.0,8.87,14.88
0.64,753.2,302.7,167.3,7.0,2,0.4,15.65,15.29
0.78,598.1,262.7,155.9,3.5,4,0.4,27.72,32.54
0.64,649.5,258.6,208.3,7.0,5,0.4,22.08,46.38
0.78,755.3,257.1,220.0,3.5,3,0.0,16.3,31.01
0.95,757.9,301.7,117.5,3.5,3,0.4,21.16,37.05
0.91,616.6,334.3,190.5,3.5,2,0.4,41.75,31.87
0.83,754.9,276.1,150.5,3.5,4,0.1,6.78,13.98
0.94,711.5,407.9,125.3,7.0,3,0.4,11.44,45.97
0.64,626.9,345.6,154.6,7.0,4,0.25,6.69,12.74
0.84,800.6,399.3,219.8,7.0,3,0.25,27.96,38.88
0.65,509.6,266.8,149.3,7.0,5,0.4,6.48,47.22
0.79,618.6,265.8,140.5,3.5,3,0.4,22.8,22.12
0.79,595.2,392.4,203.1,7.0,4,0.25,37.79,16.52
0.71,790.1,342.2,205.5,7.0,4,0.25,9.6,31.51
0.93,530.8,408.9,147.3,7.0,2,0.0,19.51,40.21
0.69,694.7,266.4,142.9,3.5,5,0.25,19.99,46.08
0.82,722.2,244.7,181.2,7.0,3,0.0,19.4,36.36
0.79,557.1,405.0,132.6,7.0,5,0.25,32.92,22.76
0.77,546.5,365.8,163.2,7.0,5,0.4,6.16,28.79
0.61,514.8,385.3,125.5,7.0,4,0.4,34.86,38.93
0.88,549.3,293.3,143.5,3.5,2,0.25,37.04,39.94
0.61,750.5,240.6,142.7,3.5,5,0.25,21.96,12.83
0.93,792.6,326.9,186.4,3.5,4,0.25,38.82,33.32
0.71,779.4,418.2,141.1,3.5,3,0.25,20.1,46.76
0.65,613.2,403.4,208.8,7.0,4,0.4,31.7,39.84
0.77,725.0,253.0,218.1,7.0,2,0.0,20.39,10.28
0.82,756.4,273.8,118.9,7.0,4,0.1,7.4,18.55
0.72,751.9,296.0,153.7,3.5,5,0.1,9.09,26.91
0.65,519.4,389.5,143.2,7.0,4,0.0,22.36,36.84
0.61,566.6,388.4,148.7,3.5,4,0.25,42.63,31.1
0.88,791.1,273.3,139.2,7.0,4,0.0,12.57,12.94
0.95,729.4,336.0,152.1,7.0,5,0.4,39.14,38.05
0.64,758.6,330.3,125.6,3.5,2,0.0,40.02,41.87
0.69,659.4,314.6,140.8,7.0,3,0.1,21.16,17.82
0.61,621.8,336.5,192.3,7.0,5,0.0,23.09,12.56
0.95,701.9,292.7,147.8,7.0,3,0.25,24.6,40.06
0.78,646.6,335.7,132.9,7.0,3,0.0,34.51,34.34
0.97,615.9,363.4,121.9,3.5,5,0.1,10.58,40.53
0.79,607.8,251.3,148.3,7.0,5,0.25,18.16,31.53
0.94,549.0,414.1,180.8,3.5,5,0.4,12.32,26.28
0.98,664.1,269.8,137.9,7.0,5,0.1,38.5,46.6
0.73,661.2,304.9,156.5,3.5,2,0.25,8.61,39.64
