danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
0.328,0.983,-13.5,0.701,0.62,0.946,0.981,0.193,150.1,classical
0.312,0.112,-28.4,0.087,0.928,0.985,0.579,0.214,78.0,jazz
0.398,0.265,-3.3,0.905,0.953,0.642,0.66,0.35,197.6,hip-hop
0.872,0.344,-13.5,0.747,0.737,0.56,0.851,0.538,160.9,electronic
0.663,0.538,-36.0,0.984,0.693,0.253,0.673,0.678,127.4,electronic
0.527,0.053,-35.1,0.433,0.763,0.275,0.197,0.173,125.1,hip-hop
0.403,0.276,-59.6,0.086,0.673,0.254,0.423,0.153,142.7,classical
0.07,0.794,-9.7,0.906,0.01,0.785,0.612,0.012,77.9,classical
0.885,0.048,-11.7,0.813,0.997,0.615,0.464,0.113,139.6,jazz
0.128,0.818,-25.9,0.0,0.637,0.736,0.68,0.752,60.5,classical
0.186,0.185,-37.5,0.53,0.489,0.816,0.282,0.055,140.7,rock
0.45,0.305,-11.7,0.007,0.453,0.893,0.159,0.606,136.2,classical
0.14,0.718,-23.4,0.352,0.234,0.147,0.028,0.601,103.6,classical
0.64,0.765,-48.6,0.869,0.477,0.875,0.039,0.993,63.5,electronic
0.494,0.211,-45.5,0.674,0.733,0.646,0.357,0.678,132.5,rock
0.498,0.405,-23.7,0.851,0.254,0.918,0.022,0.699,115.6,pop
0.967,0.242,-19.3,0.557,0.845,0.929,0.272,0.09,96.9,pop
0.674,0.513,-53.2,0.774,0.211,0.427,0.513,0.876,114.2,hip-hop
0.732,0.652,-9.6,0.486,0.858,0.714,0.744,0.32,59.1,classical
0.609,0.27,-29.8,0.503,0.584,0.826,0.589,0.313,62.8,hip-hop
0.26,0.462,-48.0,0.598,0.838,0.257,0.535,0.466,71.6,classical
0.063,0.536,-26.1,0.141,0.417,0.486,0.242,0.708,133.0,rock
0.561,0.419,-7.4,0.643,0.321,0.259,0.016,0.294,92.5,jazz
0.447,0.514,-56.7,0.856,0.698,0.088,0.13,0.778,85.3,classical
0.123,0.144,-46.7,0.16,0.363,0.698,0.982,0.246,144.6,hip-hop
0.86,0.04,-26.2,0.377,0.953,0.572,0.928,0.123,139.5,hip-hop
0.497,0.063,-59.9,0.92,0.741,0.4,0.311,0.697,100.7,classical
0.454,0.973,-49.2,0.311,0.429,0.213,0.321,0.922,190.6,hip-hop
0.417,0.074,-45.8,0.875,0.173,0.189,0.891,0.91,109.7,hip-hop
0.738,0.386,-7.0,0.641,0.557,0.279,0.079,0.063,78.4,rock
0.052,0.792,-28.5,0.843,0.596,0.982,0.171,0.392,183.3,hip-hop
0.215,0.851,-22.1,0.143,0.969,0.963,0.118,0.287,155.3,pop
0.902,0.268,-59.8,0.787,0.744,0.845,0.871,0.455,162.3,pop
0.04,0.64,-36.8,0.03,0.254,0.068,0.007,0.05,177.3,jazz
0.611,0.724,-33.2,0.395,0.262,0.832,0.014,0.411,169.4,pop
0.241,0.916,-9.7,0.28,0.58,0.756,0.814,0.961,177.2,pop
0.54,0.889,-48.3,0.641,0.119,0.939,0.637,0.567,84.1,rock
0.531,0.435,-56.1,0.765,0.695,0.467,0.563,0.217,142.4,classical
0.656,0.541,-10.5,0.345,0.079,0.515,0.923,0.809,151.4,rock
0.172,0.801,-47.3,0.837,0.573,0.568,0.483,0.397,93.9,hip-hop
0.641,0.599,-18.6,0.552,0.982,0.546,0.467,0.064,199.1,pop
0.782,0.356,-54.5,0.753,0.873,0.314,0.421,0.352,171.1,hip-hop
0.176,0.95,-19.6,0.725,0.844,0.161,0.652,0.814,187.2,electronic
0.789,0.998,-34.6,0.138,0.75,0.712,0.323,0.221,72.8,electronic
0.122,0.933,-4.3,0.731,0.929,0.913,0.668,0.327,55.7,electronic
0.263,0.346,-48.0,0.826,0.93,0.666,0.704,0.272,54.3,classical
0.362,0.242,-56.0,0.035,0.162,0.829,0.211,0.898,180.0,classical
0.311,0.493,-28.0,0.162,0.229,0.521,0.595,0.294,132.0,jazz
0.734,0.785,-4.9,0.52,0.924,0.505,0.727,0.24,96.2,jazz
0.269,0.27,-47.8,0.059,0.275,0.985,0.961,0.927,170.8,rock
0.751,0.407,-9.9,0.366,0.38,0.995,0.939,1.0,146.6,pop
0.057,0.151,-39.6,0.839,0.042,0.609,0.205,0.594,142.9,electronic
0.319,0.702,-54.1,0.101,0.899,0.371,0.577,0.935,169.6,hip-hop
0.913,0.737,-24.6,0.14,0.072,0.372,0.469,0.768,120.4,jazz
0.386,0.496,-28.7,0.119,0.53,0.672,0.349,0.188,74.3,classical
0.47,0.737,-9.7,0.545,0.22,0.224,0.342,0.684,187.6,classical
0.753,0.644,-53.8,0.304,0.027,0.98,0.971,0.79,179.8,jazz
0.054,0.929,-21.3,0.816,0.29,0.713,0.037,0.743,87.3,classical
0.701,0.587,-22.8,0.582,0.664,0.161,0.853,0.53,99.3,pop
0.064,0.357,-0.3,0.67,0.089,0.364,0.453,0.515,173.0,pop
0.553,0.73,-40.3,0.308,0.851,0.224,0.567,0.822,195.8,rock
0.612,0.057,-57.3,0.492,0.692,0.086,0.739,0.689,166.3,pop
0.145,0.476,-35.3,0.371,0.058,0.645,0.456,0.793,57.9,jazz
0.851,0.966,-32.1,0.497,0.404,0.104,0.987,0.207,111.2,jazz
0.569,0.705,-37.9,0.688,0.809,0.396,0.868,0.966,166.4,pop
0.155,0.999,-22.2,0.451,0.932,0.67,0.213,0.733,119.9,jazz
0.861,0.393,-44.0,0.067,0.629,0.161,0.67,0.422,151.4,rock
0.825,0.393,-49.0,0.371,0.681,0.884,0.475,0.599,55.5,rock
0.671,0.06,-32.8,0.889,0.877,0.185,0.361,0.64,81.7,classical
0.405,0.361,-16.4,0.823,0.454,0.611,0.352,0.801,163.9,rock
0.494,0.141,-6.5,0.833,0.707,0.924,0.163,0.701,78.9,hip-hop
0.703,0.396,-20.2,0.181,0.578,0.095,0.458,0.844,195.7,pop
0.3,0.002,-37.4,0.079,0.695,0.105,0.596,0.395,105.0,electronic
0.595,0.438,-15.2,0.813,0.882,0.126,0.798,0.421,79.1,jazz
0.622,0.939,-48.7,0.666,0.79,0.358,0.289,0.189,79.2,jazz
0.222,0.762,-14.9,0.508,0.127,0.672,0.774,0.516,76.3,rock
0.129,0.241,-31.1,0.687,0.932,0.539,0.554,0.402,102.1,rock
0.165,0.27,-43.8,0.931,0.05,0.298,0.258,0.665,137.2,rock
0.021,0.309,-18.5,0.129,0.757,0.618,0.787,0.603,182.5,jazz
0.751,0.093,-35.0,0.17,0.285,0.446,0.603,0.857,190.0,hip-hop
0.809,0.992,-22.8,0.59,0.78,0.353,0.955,0.168,140.0,jazz
0.8,0.668,-20.2,0.707,0.015,0.382,0.288,0.915,144.9,rock
0.93,0.738,-36.4,0.644,0.221,0.359,0.973,0.221,128.1,hip-hop
0.085,0.695,-0.8,0.254,0.08,0.512,0.556,0.721,100.5,rock
0.931,0.465,-32.6,0.622,0.752,0.38,0.455,0.498,130.1,hip-hop
0.502,0.816,-1.0,0.56,0.194,0.32,0.875,0.703,74.8,electronic
0.393,0.238,-45.9,0.024,0.928,0.321,0.158,0.536,98.4,electronic
0.142,0.388,-50.0,0.622,0.411,0.219,0.462,0.652,79.9,rock
0.483,0.326,-22.1,0.451,0.719,0.21,0.125,0.752,176.0,hip-hop
0.682,0.953,-27.2,0.853,0.825,0.286,0.613,0.193,74.5,pop
0.089,0.039,-27.6,0.655,0.953,0.972,0.042,0.342,162.0,hip-hop
0.978,0.075,-0.3,0.547,0.462,0.204,0.98,0.867,60.0,electronic
0.917,0.956,-59.9,0.896,0.671,0.445,0.008,0.836,149.0,rock
0.887,0.688,-32.8,0.664,0.364,0.909,0.932,0.681,164.8,classical
0.41,0.636,-41.6,0.251,0.284,0.012,0.644,0.305,65.1,rock
0.856,0.819,-34.3,0.468,0.687,0.605,0.823,0.206,165.8,classical
0.125,0.917,-3.7,0.672,0.404,0.87,0.358,0.049,137.9,jazz
0.911,0.896,-11.5,0.821,0.572,0.168,0.244,0.934,152.9,hip-hop
0.855,0.89,-47.9,0.283,0.199,0.813,0.173,0.636,158.5,hip-hop
0.587,0.839,-17.7,0.727,0.715,0.646,0.531,0.413,74.5,rock
0.662,0.12,-25.2,0.683,0.969,0.821,0.267,0.69,169.7,jazz
0.351,0.635,-35.5,0.147,0.538,0.071,0.88,0.458,167.3,electronic
0.949,0.491,-39.5,0.153,0.52,0.071,0.03,0.351,147.0,rock
0.067,0.781,-24.1,0.502,0.854,0.143,0.085,0.501,125.7,pop
0.891,0.955,-31.9,0.411,0.152,0.979,0.216,0.737,177.5,pop
0.261,0.364,-27.0,0.134,0.393,0.879,0.082,0.838,182.1,electronic
0.805,0.755,-13.6,0.088,0.174,0.572,0.828,0.1,100.2,classical
0.049,0.212,-2.0,0.898,0.546,0.528,0.004,0.065,129.9,electronic
0.244,0.421,-35.3,0.192,0.616,0.255,0.652,0.34,117.5,hip-hop
0.198,0.723,-34.4,0.368,0.914,0.212,0.455,0.039,113.8,classical
0.978,0.087,-9.6,0.466,0.831,0.235,0.773,0.495,174.2,electronic
0.21,0.862,-52.2,0.083,0.646,0.73,0.41,0.824,149.5,electronic
0.371,0.917,-11.9,0.138,0.775,0.634,0.645,0.348,121.1,classical
0.298,0.872,-36.5,0.525,0.629,0.502,0.639,0.476,168.3,hip-hop
0.986,0.001,-35.1,0.699,0.571,0.834,0.364,0.574,191.5,pop
0.616,0.803,-42.2,0.844,0.048,0.059,0.114,0.914,111.2,classical
0.36,0.897,-52.6,0.863,0.024,0.036,0.433,0.927,70.3,hip-hop
0.908,0.984,-15.3,0.545,0.852,0.821,0.875,0.632,188.0,electronic
0.707,0.034,-6.1,0.287,0.282,0.416,0.796,0.01,193.6,pop
0.703,0.564,-29.9,0.58,0.351,0.666,0.371,0.19,111.4,hip-hop
0.486,0.882,-48.5,0.623,0.449,0.404,0.867,0.202,147.3,hip-hop
0.498,0.731,-41.4,0.287,0.042,0.439,0.439,0.599,63.6,rock
0.731,0.854,-54.9,0.667,0.962,0.023,0.196,0.708,57.0,pop
0.01,0.698,-10.2,0.174,0.103,0.53,0.864,0.089,64.2,classical
0.437,0.024,-28.8,0.296,0.968,0.035,0.494,0.29,166.2,electronic
0.981,0.878,-1.3,0.93,0.708,0.351,0.434,0.507,118.9,hip-hop
0.654,0.618,-13.7,0.51,0.943,0.137,0.235,0.771,148.3,rock
0.379,0.247,-16.4,0.151,0.052,0.218,0.765,0.344,133.2,jazz
0.17,0.68,-33.7,0.668,0.447,0.907,0.55,0.497,79.1,electronic
0.359,0.514,-39.1,0.23,0.953,0.969,0.207,0.496,172.2,jazz
0.48,0.717,-43.4,0.035,0.646,0.033,0.259,0.927,82.1,rock
0.631,0.473,-0.7,0.872,0.547,0.914,0.382,0.845,77.3,pop
0.983,0.102,-46.2,0.434,0.672,0.851,0.534,0.858,142.7,jazz
0.496,0.912,-51.2,0.777,0.186,0.516,0.805,0.167,180.4,classical
0.364,0.683,-31.7,0.854,0.746,0.484,0.207,0.901,179.9,rock
0.254,0.714,-28.9,0.574,0.276,0.387,0.739,0.394,115.8,hip-hop
0.766,0.768,-49.4,0.097,0.282,0.653,0.916,0.545,152.8,rock
0.464,0.512,-39.0,0.32,0.597,0.182,0.396,0.614,173.8,classical
0.725,0.714,-42.4,0.253,0.021,0.074,0.366,0.43,82.4,rock
0.284,0.212,-15.5,0.604,0.054,0.98,0.478,0.343,109.2,classical
0.371,0.469,-30.7,0.411,0.016,0.821,0.817,0.248,145.0,classical
0.956,0.692,-13.4,0.412,0.767,0.38,0.093,0.514,175.9,rock
0.233,0.805,-54.5,0.655,0.027,0.066,0.387,0.838,100.4,rock
0.319,0.968,-41.0,0.032,0.096,0.957,0.029,0.765,143.2,rock
0.509,0.861,-42.1,0.132,0.607,0.051,0.518,0.51,58.8,hip-hop
