product_id,price,weight,category,rating,label
138,204.58,27.69,clothing,1.4,standard
139,66.4,35.23,food,5.0,standard
140,80.16,11.42,food,4.1,premium
141,487.45,44.07,electronics,2.3,premium
142,196.76,18.25,toys,4.4,premium
143,180.54,37.61,clothing,2.9,budget
144,288.14,23.91,electronics,4.7,premium
145,158.43,48.69,electronics,4.7,premium
146,177.65,7.2,food,3.8,budget
147,394.53,19.58,electronics,1.9,budget
148,390.82,43.36,food,5.0,budget
149,128.96,14.88,toys,3.6,budget
150,475.92,27.08,toys,4.2,standard
151,26.25,16.77,electronics,3.1,premium
152,448.06,43.61,food,4.6,premium
153,463.88,33.37,toys,1.5,premium
154,71.57,11.28,clothing,3.4,premium
155,344.89,15.91,electronics,2.8,budget
156,287.75,48.92,food,4.5,budget
157,396.84,37.68,food,3.5,budget
158,171.05,8.38,food,4.0,standard
159,177.17,24.12,electronics,3.3,budget
160,272.92,36.17,toys,2.0,budget
161,96.51,7.52,toys,2.3,budget
162,465.77,33.33,toys,2.7,premium
163,450.53,34.93,electronics,4.7,premium
164,260.37,5.36,clothing,1.1,premium
165,208.18,32.22,food,1.8,standard
166,19.46,21.15,clothing,3.5,premium
167,409.17,17.29,toys,1.7,premium
168,36.33,22.08,toys,1.4,standard
169,335.09,28.12,clothing,4.2,standard
170,241.71,31.38,electronics,3.6,standard
171,48.02,4.2,food,4.6,budget
172,467.29,45.63,clothing,2.7,premium
173,396.24,36.05,electronics,1.2,standard
174,319.78,18.08,food,1.5,standard
175,302.09,1.38,food,3.7,budget
176,371.57,26.8,toys,3.7,premium
177,488.9,16.39,food,1.8,standard
178,12.73,18.85,food,1.4,budget
179,9.63,22.14,food,4.0,premium
180,363.4,48.01,toys,3.4,premium
181,402.11,11.84,electronics,3.2,premium
182,89.28,12.3,toys,3.1,budget
183,84.98,35.43,toys,2.8,premium
184,432.8,48.31,clothing,3.0,budget
185,172.65,2.2,clothing,3.2,premium
186,54.17,48.14,toys,1.0,standard
187,274.03,21.4,toys,1.7,standard
188,197.68,5.71,food,1.2,budget
189,276.2,3.1,food,4.5,premium
190,95.6,3.76,clothing,4.0,premium
191,372.57,11.67,food,4.5,budget
192,323.99,20.38,clothing,4.1,budget
193,348.04,19.82,clothing,3.1,standard
194,250.41,29.2,electronics,3.9,budget
195,233.94,33.63,clothing,4.1,premium
196,388.59,15.19,clothing,2.5,budget
197,212.89,7.24,food,3.7,premium
198,341.95,45.09,food,2.7,budget
199,22.19,16.94,toys,4.1,premium
200,252.12,2.67,electronics,2.3,standard
