fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
4.9,0.936,0.48,10.9,0.459,17.0,156.0,0.9921,3.23,0.46,14.5,6
6.0,1.161,0.77,6.8,0.436,62.0,171.0,1.0009,3.26,1.1,12.4,4
4.7,1.094,0.63,5.2,0.014,59.0,232.0,0.9963,3.46,1.81,10.8,7
10.0,1.312,0.63,10.2,0.31,33.0,102.0,0.9963,3.38,1.39,9.8,3
5.3,1.429,0.45,3.0,0.092,36.0,234.0,1.0034,2.89,1.0,14.9,3
5.4,1.324,0.53,6.3,0.521,16.0,102.0,1.0029,2.79,0.8,14.9,3
15.3,0.128,0.75,3.8,0.524,7.0,22.0,0.9944,3.65,0.94,14.5,3
14.5,1.204,0.83,11.3,0.257,42.0,163.0,0.9929,3.43,1.17,13.5,4
9.4,0.413,0.7,15.1,0.272,8.0,172.0,1.0019,3.17,0.84,10.3,5
15.8,0.299,0.92,15.9,0.189,33.0,270.0,1.0027,3.75,1.95,13.7,8
4.0,1.058,0.82,7.5,0.433,68.0,211.0,0.9976,3.2,1.89,10.9,6
11.4,0.58,0.56,4.5,0.222,69.0,266.0,0.9988,3.73,1.78,10.3,4
11.4,0.186,0.67,7.4,0.168,18.0,263.0,0.9936,3.1,1.02,13.2,3
9.5,0.306,0.93,13.6,0.265,45.0,177.0,1.0012,2.79,1.48,8.6,4
8.8,0.101,0.62,3.8,0.064,35.0,155.0,0.9988,3.91,1.83,8.3,7
9.5,1.455,0.82,15.3,0.45,63.0,164.0,0.997,3.21,1.75,11.1,8
9.0,0.137,0.69,5.9,0.017,20.0,283.0,0.9908,3.73,1.0,11.1,3
12.8,0.414,0.55,15.8,0.39,1.0,225.0,1.0028,3.06,0.49,14.3,6
5.6,0.724,0.24,13.5,0.118,13.0,36.0,0.9986,3.54,0.43,8.9,3
6.4,0.635,0.43,13.1,0.147,26.0,226.0,0.9927,3.84,1.28,8.9,8
6.2,1.468,0.97,5.5,0.385,23.0,54.0,0.9985,2.75,1.39,9.0,6
7.1,0.16,0.66,0.7,0.596,57.0,133.0,0.9995,3.78,1.74,8.2,8
10.3,0.868,0.56,6.5,0.469,49.0,66.0,0.9974,3.44,0.8,8.5,6
5.3,1.121,0.93,5.2,0.143,22.0,201.0,1.0001,3.49,0.58,12.6,5
14.4,1.498,0.59,1.2,0.114,33.0,254.0,0.9981,3.38,0.94,11.0,5
7.6,1.031,0.53,8.4,0.521,8.0,88.0,1.0033,3.84,0.9,13.3,4
6.0,1.306,0.76,6.8,0.272,65.0,29.0,0.9908,2.76,0.53,14.9,4
12.1,0.226,0.71,10.4,0.091,67.0,90.0,0.9915,3.04,1.44,12.6,6
4.5,0.679,0.19,10.2,0.519,71.0,196.0,0.9924,3.84,1.16,8.4,3
11.4,0.661,0.47,2.5,0.491,63.0,99.0,0.9997,3.68,1.53,8.7,7
12.4,1.429,0.47,15.6,0.591,13.0,85.0,0.999,2.72,0.9,14.2,7
6.6,0.327,0.38,3.5,0.547,4.0,58.0,1.0025,3.37,0.85,11.7,3
4.5,0.328,0.52,7.5,0.513,42.0,147.0,1.0003,3.39,1.1,13.8,3
8.4,0.593,0.41,8.1,0.041,66.0,84.0,0.9971,3.22,1.79,14.0,5
5.2,0.182,0.2,13.1,0.072,14.0,213.0,1.0039,3.09,0.37,14.5,7
5.4,0.374,0.41,2.1,0.346,2.0,28.0,0.9937,3.59,1.67,14.6,6
7.1,1.548,0.07,7.2,0.324,58.0,194.0,1.0017,2.97,0.93,11.9,8
7.5,0.742,0.58,10.3,0.28,6.0,73.0,0.996,3.74,1.75,10.4,4
10.4,1.048,0.85,3.9,0.244,30.0,144.0,0.9991,3.74,1.66,14.7,8
12.1,1.189,0.73,10.3,0.264,49.0,87.0,1.0002,3.24,0.89,11.8,5
11.1,0.65,0.36,14.8,0.346,18.0,211.0,0.9989,3.07,1.48,8.4,7
5.8,0.321,0.09,16.0,0.011,7.0,274.0,0.992,3.07,0.57,12.5,3
6.1,0.41,0.2,1.1,0.164,56.0,266.0,0.9962,3.33,1.82,12.1,7
14.5,0.57,0.55,4.2,0.316,46.0,171.0,0.9979,3.64,0.99,14.3,6
10.7,1.054,0.21,5.4,0.436,71.0,137.0,1.0019,3.17,1.07,12.6,5
14.4,0.697,0.54,6.7,0.113,25.0,238.0,0.9962,3.49,1.5,10.4,3
8.5,0.11,0.23,4.3,0.333,5.0,199.0,1.0029,3.2,1.7,14.8,8
11.4,0.885,0.85,3.7,0.432,53.0,58.0,0.9962,3.1,0.7,13.6,6
10.3,1.482,0.4,15.3,0.272,38.0,238.0,0.9977,2.73,1.42,12.4,8
7.8,1.318,0.25,14.7,0.026,16.0,127.0,1.0011,2.71,0.97,10.1,4
9.6,1.338,0.81,1.3,0.275,57.0,59.0,0.9982,3.0,0.93,10.6,5
10.0,1.293,0.34,5.8,0.185,15.0,86.0,1.0034,3.23,1.47,12.7,6
6.4,0.586,0.11,6.8,0.558,20.0,82.0,0.9992,3.81,0.96,8.5,6
7.8,1.248,0.57,4.3,0.084,8.0,153.0,0.9973,3.74,0.89,9.8,8
13.5,0.315,0.58,10.3,0.395,29.0,72.0,0.9903,3.05,1.72,13.0,3
15.0,1.087,0.71,10.5,0.041,31.0,41.0,0.9958,3.02,0.47,11.4,4
8.3,1.062,0.24,13.7,0.273,38.0,41.0,0.9942,3.0,1.45,10.8,8
7.7,0.138,0.44,12.0,0.337,51.0,171.0,1.0005,3.14,0.72,9.1,6
6.3,1.282,0.28,9.0,0.186,65.0,214.0,0.9929,3.35,0.33,11.1,5
12.1,1.455,0.08,10.7,0.278,11.0,97.0,0.9929,3.27,0.58,13.4,6
7.9,0.501,0.88,4.8,0.106,5.0,16.0,0.9927,2.98,1.33,9.8,7
15.9,1.319,0.73,9.7,0.189,2.0,42.0,0.9918,2.87,1.51,8.0,5
7.9,0.224,0.3,8.1,0.376,11.0,265.0,0.9944,2.72,0.34,12.7,5
8.7,1.0,0.6,2.7,0.188,48.0,146.0,1.0024,2.9,0.36,14.8,6
11.2,0.828,0.2,4.3,0.541,53.0,134.0,1.0008,3.62,1.83,12.2,3
13.6,0.919,0.89,5.1,0.381,57.0,17.0,1.0003,3.02,0.42,8.8,5
9.6,1.489,0.11,14.8,0.269,18.0,212.0,1.0012,3.31,1.82,10.2,7
9.1,1.407,0.0,4.1,0.033,23.0,155.0,0.9938,3.47,0.69,14.1,8
15.9,1.278,0.5,5.1,0.305,35.0,63.0,1.0024,3.85,1.56,9.6,3
4.1,0.511,0.58,6.3,0.461,5.0,37.0,0.9919,3.86,0.83,12.3,3
14.7,1.468,0.58,10.8,0.167,44.0,114.0,0.9947,3.67,1.76,10.8,3
5.8,0.246,0.05,2.4,0.486,71.0,243.0,0.9982,2.75,1.49,9.5,5
13.4,1.38,0.31,15.3,0.159,27.0,251.0,0.9914,3.45,0.98,13.7,3
11.4,0.592,0.5,13.9,0.496,54.0,177.0,1.0002,3.72,0.43,13.2,6
8.1,0.181,0.22,9.5,0.06,37.0,212.0,0.9954,2.72,1.55,12.6,3
14.5,1.104,0.87,11.0,0.521,10.0,39.0,1.001,3.41,1.35,9.7,7
4.2,0.447,0.09,0.9,0.305,42.0,172.0,0.9969,3.82,0.3,8.7,4
6.7,0.465,0.49,5.8,0.185,22.0,195.0,0.9925,3.32,0.32,12.0,7
10.8,0.559,0.69,12.9,0.166,3.0,63.0,1.0003,2.71,1.67,11.9,5
8.2,0.196,0.26,1.8,0.265,46.0,255.0,0.9935,2.71,0.74,9.3,3
11.3,0.366,0.62,4.9,0.599,62.0,61.0,0.9969,3.24,1.38,8.4,3
4.3,0.108,0.83,9.6,0.14,25.0,95.0,0.9911,2.9,1.07,8.6,6
5.4,0.768,0.19,4.5,0.071,29.0,182.0,0.9987,3.56,1.77,14.9,8
5.5,0.226,0.92,15.0,0.355,64.0,187.0,0.9993,3.62,1.86,13.5,3
6.3,1.124,0.55,2.6,0.298,59.0,204.0,0.9953,2.93,1.99,14.5,7
9.5,0.453,0.3,12.9,0.319,52.0,38.0,1.0034,3.86,0.56,9.4,5
13.0,1.515,0.43,8.4,0.403,19.0,246.0,1.0022,3.27,1.77,14.7,4
14.9,1.407,0.31,12.2,0.168,66.0,157.0,0.9999,2.89,0.75,9.0,3
14.0,0.534,0.73,5.4,0.547,12.0,139.0,1.0,3.69,1.3,11.6,4
6.4,1.275,0.8,8.5,0.267,46.0,284.0,0.9935,3.73,1.16,13.8,3
9.3,1.305,0.83,13.8,0.086,3.0,216.0,0.9992,3.53,0.33,10.4,5
6.4,1.58,0.99,7.8,0.448,47.0,39.0,0.9928,3.81,1.89,11.0,8
7.2,0.997,0.79,6.1,0.389,21.0,220.0,0.992,3.66,0.43,8.9,7
10.0,0.223,0.6,8.9,0.196,33.0,33.0,1.004,3.85,1.47,8.9,5
4.8,1.07,0.34,11.6,0.377,26.0,14.0,0.9987,3.26,1.63,12.3,4
6.6,1.037,0.54,7.4,0.14,13.0,120.0,0.996,3.67,1.65,12.7,3
15.2,1.058,0.04,15.1,0.272,45.0,287.0,0.994,4.0,0.53,13.4,4
9.6,0.561,0.74,5.1,0.541,64.0,55.0,0.9985,3.64,1.06,11.9,7
9.3,1.39,0.45,7.9,0.089,69.0,196.0,0.9907,2.85,1.71,12.5,5
4.2,1.539,0.02,12.3,0.238,15.0,55.0,0.9913,3.37,0.81,8.1,4
7.0,0.427,0.06,11.2,0.494,52.0,211.0,0.9905,3.46,1.1,9.1,4
14.4,0.232,0.39,13.9,0.582,48.0,149.0,0.997,2.93,0.76,14.9,7
6.0,0.392,0.58,16.0,0.278,25.0,198.0,0.9984,3.95,1.09,8.5,3
9.0,1.331,0.46,7.2,0.309,2.0,63.0,0.9909,2.93,1.81,12.8,4
4.2,1.115,0.62,2.3,0.348,50.0,217.0,1.0001,2.93,1.07,9.2,7
9.7,1.054,0.48,1.1,0.56,68.0,288.0,0.9932,3.89,1.25,13.0,3
4.3,0.703,0.66,11.8,0.516,46.0,194.0,0.9996,3.3,0.99,12.9,8
13.8,0.967,0.22,14.1,0.111,32.0,146.0,1.0037,2.78,1.08,9.6,3
13.9,0.562,0.11,4.0,0.268,38.0,267.0,0.9997,3.48,0.33,9.9,8
13.5,0.816,0.6,3.0,0.284,15.0,10.0,1.0024,3.48,0.78,12.6,5
7.4,1.29,0.48,1.6,0.476,54.0,213.0,1.0033,2.78,1.04,10.7,7
14.0,1.572,0.03,13.3,0.366,54.0,258.0,0.9968,3.96,1.38,9.4,3
10.5,1.499,0.38,5.4,0.396,11.0,23.0,0.9998,3.41,1.07,13.1,8
8.5,1.501,0.11,6.8,0.599,63.0,133.0,1.0019,3.43,0.87,9.1,8
11.5,0.703,0.53,8.3,0.054,20.0,64.0,0.995,3.38,0.96,14.0,5
4.1,0.803,0.4,13.5,0.142,71.0,166.0,0.9937,3.49,0.71,11.6,6
5.7,1.158,0.61,10.6,0.251,28.0,190.0,1.0033,3.04,1.87,8.7,7
12.9,1.483,0.81,10.1,0.215,14.0,92.0,1.0002,3.07,1.19,12.9,6
6.9,0.313,0.3,3.3,0.023,26.0,136.0,0.9931,3.36,0.32,11.6,3
11.2,0.556,0.96,8.5,0.064,32.0,85.0,0.9963,3.75,0.33,10.1,7
8.6,0.309,0.54,11.6,0.412,6.0,111.0,1.0012,2.76,1.95,11.0,5
14.3,1.018,0.62,15.6,0.529,42.0,51.0,0.9977,3.48,0.68,10.1,3
15.4,0.559,0.68,3.7,0.313,43.0,257.0,0.9991,3.75,1.67,9.8,7
14.6,0.589,0.67,0.7,0.328,53.0,9.0,1.0006,2.9,0.4,9.1,7
7.2,0.206,0.51,1.8,0.161,3.0,256.0,0.9987,2.72,1.87,10.5,6
6.3,0.625,0.43,6.4,0.463,39.0,168.0,0.9976,3.11,1.79,9.8,3
9.7,1.394,0.05,13.2,0.454,5.0,100.0,1.0005,3.46,1.27,12.8,5
4.1,0.45,0.02,0.7,0.357,51.0,211.0,1.0002,2.88,0.32,12.8,5
4.3,1.143,0.36,7.6,0.135,5.0,150.0,0.9988,3.25,0.74,11.5,3
10.6,1.044,0.33,5.7,0.067,66.0,147.0,0.995,3.42,0.99,13.4,3
10.2,1.395,0.39,1.4,0.048,51.0,37.0,0.9957,3.48,1.08,13.9,8
15.9,0.298,0.14,7.5,0.36,37.0,116.0,1.0036,3.06,0.81,12.1,4
6.4,1.566,0.74,4.5,0.497,32.0,74.0,0.9916,3.22,0.36,12.3,6
7.1,0.974,0.86,6.0,0.516,10.0,10.0,0.9938,3.71,1.3,10.0,3
5.4,1.593,0.94,11.5,0.284,22.0,108.0,0.9969,3.92,1.19,14.3,3
15.0,1.467,0.49,8.6,0.473,63.0,31.0,1.0017,3.82,0.78,8.2,4
13.3,0.432,0.7,2.5,0.569,65.0,79.0,0.9923,3.43,0.36,10.4,4
13.9,0.184,0.86,15.4,0.172,1.0,32.0,0.9939,3.23,1.99,13.1,7
14.8,0.483,0.42,10.4,0.245,43.0,35.0,0.9909,3.13,1.12,8.6,5
10.3,0.891,0.31,12.4,0.56,52.0,62.0,0.9999,2.86,1.59,9.3,6
9.4,0.357,0.94,1.8,0.21,45.0,289.0,0.9933,2.84,1.07,12.1,7
8.0,0.351,0.52,1.3,0.549,7.0,7.0,0.9954,3.59,0.37,11.9,3
11.1,0.794,0.5,0.9,0.589,16.0,187.0,0.9962,3.04,0.83,13.2,4
9.5,0.15,0.18,3.5,0.4,19.0,46.0,1.0025,3.03,0.84,13.7,8
9.4,0.283,0.11,7.0,0.492,60.0,267.0,0.9958,4.0,1.73,8.9,5
15.2,0.724,0.84,15.0,0.452,34.0,32.0,0.992,2.94,1.41,8.1,7
15.8,0.195,0.61,7.6,0.423,36.0,276.0,0.9973,2.89,0.77,12.8,8
13.6,0.695,0.33,5.1,0.191,67.0,179.0,1.0035,2.83,1.95,10.1,5
13.1,0.811,0.19,9.3,0.044,46.0,6.0,0.9985,3.45,0.85,12.4,8
12.2,0.777,0.56,2.3,0.212,65.0,259.0,1.0038,3.52,2.0,9.1,4
6.0,1.404,0.58,10.0,0.403,33.0,154.0,1.0018,3.17,1.99,11.3,7
4.7,0.895,0.21,9.4,0.07,12.0,80.0,0.9905,3.4,0.63,11.5,7
12.3,0.802,0.85,12.8,0.017,67.0,223.0,0.9992,3.72,0.83,12.1,5
12.7,0.716,0.08,15.8,0.092,34.0,268.0,0.994,3.76,1.13,11.6,8
4.6,1.326,0.36,4.5,0.432,14.0,143.0,0.9978,3.95,1.43,11.5,4
15.1,1.443,0.68,8.4,0.584,22.0,95.0,0.9939,3.77,1.2,10.3,3
5.1,1.38,0.27,14.6,0.59,5.0,229.0,0.9949,3.43,1.95,8.5,7
7.4,1.11,0.83,12.7,0.301,34.0,199.0,1.0029,2.93,1.53,8.6,3
12.1,0.306,0.74,8.1,0.523,62.0,258.0,0.9929,2.83,0.66,11.0,4
6.0,0.515,0.79,15.2,0.445,67.0,202.0,1.0022,2.77,0.48,10.5,7
4.7,0.169,0.12,1.5,0.306,67.0,75.0,0.9904,3.57,1.47,11.6,7
8.0,1.496,0.14,14.9,0.348,10.0,270.0,0.9913,3.75,0.57,10.1,8
13.2,1.091,0.29,1.4,0.091,28.0,36.0,1.002,3.36,1.64,12.8,3
9.0,1.22,0.52,9.0,0.563,3.0,82.0,0.9988,2.77,0.83,14.0,8
11.8,0.567,0.75,14.3,0.218,62.0,153.0,1.0005,3.4,0.86,10.1,6
11.0,1.368,0.84,4.6,0.273,26.0,166.0,0.9929,3.92,0.32,9.4,3
4.3,0.489,0.7,7.9,0.406,46.0,10.0,0.9975,3.48,1.49,8.8,3
15.9,0.102,0.93,5.6,0.207,52.0,227.0,1.0003,3.75,0.49,12.3,6
4.5,0.665,0.74,15.3,0.16,32.0,108.0,0.9988,3.74,1.61,11.1,4
15.6,0.956,0.31,13.3,0.382,23.0,121.0,0.9966,3.91,1.14,9.3,4
10.6,0.818,0.27,11.5,0.025,69.0,235.0,1.0034,3.7,1.63,12.6,7
15.6,1.393,0.7,9.6,0.435,69.0,113.0,0.9995,3.67,1.29,9.0,5
5.4,0.258,0.19,13.2,0.313,22.0,19.0,1.0027,3.0,0.44,11.9,8
9.9,0.931,0.09,6.6,0.367,35.0,56.0,1.0002,2.78,1.6,11.7,5
6.0,0.869,0.53,7.5,0.383,70.0,277.0,1.0003,3.37,0.42,13.1,7
4.6,0.522,0.82,11.8,0.321,1.0,26.0,0.9911,2.86,1.11,8.4,5
11.4,1.333,0.1,6.1,0.354,30.0,106.0,0.995,3.95,0.59,14.2,3
6.5,1.229,0.79,1.6,0.413,8.0,148.0,1.002,3.08,1.58,12.9,3
11.1,1.199,0.81,1.7,0.454,37.0,146.0,0.9933,3.81,1.85,9.5,6
5.3,1.414,0.48,2.4,0.439,3.0,7.0,0.9916,3.2,1.24,9.3,6
8.0,1.184,0.06,14.0,0.523,30.0,148.0,0.9946,3.12,1.2,11.0,7
13.4,0.448,0.17,7.9,0.122,17.0,115.0,0.9931,3.92,1.6,13.7,7
9.2,1.158,0.71,11.6,0.247,39.0,281.0,1.003,3.17,0.31,13.9,7
11.5,0.562,0.71,6.7,0.569,72.0,51.0,1.0022,3.21,1.86,11.6,3
11.8,0.463,0.9,4.6,0.244,58.0,106.0,0.997,2.84,0.64,14.0,5
14.1,0.21,0.58,5.9,0.084,61.0,125.0,0.9909,3.57,1.97,8.0,8
7.9,1.216,0.12,12.8,0.32,46.0,117.0,1.0,3.08,1.55,8.2,7
12.2,1.167,0.12,10.2,0.075,4.0,194.0,0.9987,3.46,1.62,14.4,7
15.5,0.452,0.72,15.0,0.13,16.0,67.0,1.0036,3.47,1.42,13.4,3
12.8,1.224,0.18,11.1,0.599,67.0,69.0,0.9978,3.63,1.1,11.2,8
9.9,1.477,0.33,9.4,0.329,27.0,212.0,0.9947,3.67,1.27,13.3,3
11.6,0.262,0.49,10.0,0.178,8.0,148.0,0.9973,3.37,0.38,14.7,8
12.9,0.449,0.02,15.1,0.597,51.0,123.0,1.0037,3.13,1.36,13.4,3
11.3,1.225,0.25,12.7,0.58,22.0,54.0,0.9997,3.79,1.36,13.9,5
4.2,0.512,0.41,1.0,0.27,20.0,59.0,0.9994,3.1,1.82,13.3,7
6.3,1.037,0.28,8.8,0.164,72.0,9.0,0.9934,3.36,1.16,9.2,4
13.7,0.222,0.14,11.2,0.505,62.0,32.0,1.0004,3.22,0.43,13.8,4
7.3,0.778,0.73,12.1,0.432,30.0,164.0,1.0005,3.81,0.82,9.4,7
12.8,1.209,0.81,3.9,0.415,71.0,258.0,0.9944,3.26,1.41,14.2,7
8.5,1.13,0.26,14.0,0.537,47.0,87.0,0.9968,3.2,0.71,11.2,7
10.3,1.323,0.77,15.3,0.417,54.0,99.0,0.9941,3.6,0.78,12.7,7
4.8,1.416,0.39,4.2,0.177,3.0,39.0,0.9936,3.48,1.69,11.5,8
6.2,1.26,0.51,14.2,0.419,10.0,116.0,0.9904,2.84,1.29,8.7,5
15.5,1.107,0.86,2.1,0.19,46.0,17.0,0.994,3.36,1.16,10.0,4
14.7,0.148,0.75,1.5,0.458,65.0,266.0,0.9978,3.66,0.84,14.9,6
11.8,0.902,0.81,2.6,0.376,45.0,196.0,0.99,3.99,1.54,14.7,4
9.5,0.157,0.14,1.5,0.056,11.0,286.0,0.994,3.52,0.79,10.2,4
12.1,1.312,0.07,13.6,0.313,9.0,256.0,1.0023,3.18,1.55,15.0,3
11.4,0.581,0.89,1.5,0.213,61.0,140.0,0.9983,2.99,0.42,13.9,7
10.8,0.944,0.39,4.8,0.204,11.0,153.0,0.9985,3.83,1.77,12.3,7
4.7,0.519,0.29,2.2,0.365,38.0,60.0,0.9956,3.76,1.15,8.3,7
11.6,1.274,0.72,5.1,0.2,4.0,137.0,0.9995,3.0,1.05,14.3,3
13.2,1.43,0.84,2.0,0.468,7.0,262.0,0.9927,2.96,1.34,11.9,5
15.9,0.698,0.86,10.9,0.052,49.0,20.0,1.0015,3.63,1.36,14.1,5
4.1,1.394,0.32,2.7,0.4,50.0,250.0,0.9916,3.11,0.52,13.8,6
12.8,0.501,0.85,13.7,0.487,25.0,102.0,0.9992,3.1,1.59,13.8,5
10.9,0.902,0.04,13.2,0.407,16.0,261.0,0.9948,2.9,0.77,12.9,5
9.2,1.388,0.05,0.8,0.303,59.0,272.0,1.0005,3.04,1.84,10.0,7
5.5,0.589,0.62,14.4,0.571,16.0,196.0,0.9977,3.26,1.69,10.4,8
8.9,1.531,0.06,1.0,0.187,39.0,194.0,0.9963,3.65,0.89,10.2,4
8.3,0.283,0.32,4.3,0.021,70.0,134.0,0.9924,3.14,1.67,8.1,5
7.6,0.127,0.67,1.1,0.265,11.0,242.0,0.9989,3.13,0.91,12.1,5
12.8,1.456,0.34,5.8,0.029,68.0,278.0,1.0036,3.07,0.47,12.9,3
12.4,0.203,0.18,8.5,0.573,14.0,225.0,1.0016,3.32,1.94,14.0,6
11.1,1.588,0.28,12.9,0.134,41.0,182.0,0.9908,2.93,1.41,9.0,8
15.3,1.527,0.46,5.8,0.475,28.0,178.0,0.9953,3.33,1.08,11.8,3
8.2,0.306,0.48,11.5,0.467,70.0,246.0,1.003,3.62,0.98,8.1,7
6.9,0.906,0.78,3.5,0.138,20.0,159.0,0.997,2.74,0.85,8.7,4
11.9,0.377,0.75,12.2,0.377,29.0,233.0,0.9993,2.71,1.97,8.4,6
6.4,0.742,0.46,4.2,0.038,71.0,150.0,1.0028,2.8,0.53,13.1,3
7.8,0.192,0.85,2.8,0.295,39.0,24.0,1.0022,3.4,0.84,8.6,5
6.7,0.436,0.11,3.5,0.019,37.0,115.0,0.997,3.81,1.13,13.0,5
4.8,0.645,0.26,3.4,0.553,19.0,132.0,0.9961,2.71,1.11,9.7,6
13.9,0.758,0.83,8.5,0.586,51.0,46.0,0.9948,3.92,1.1,14.1,5
7.1,1.566,0.38,13.6,0.141,2.0,35.0,1.0001,2.84,0.6,13.7,3
9.7,1.312,0.98,1.8,0.133,5.0,158.0,0.994,3.79,0.55,14.7,3
4.5,1.206,0.47,11.5,0.455,44.0,30.0,0.9935,3.33,0.73,14.2,5
12.4,0.906,0.79,10.7,0.159,25.0,92.0,0.995,3.56,1.85,14.5,5
8.0,1.36,0.4,14.0,0.538,69.0,217.0,0.9925,3.36,0.49,14.0,7
12.9,0.609,0.42,4.4,0.349,65.0,279.0,0.9997,3.32,1.59,12.9,4
8.9,1.163,0.38,7.5,0.217,52.0,209.0,0.9986,3.79,1.59,9.2,6
