cylinders,displacement,horsepower,weight,acceleration,model_year,origin,mpg
6,319.6,170.0,3615.0,19.9,72,1,45.8
6,156.4,227.0,2985.0,19.2,76,3,19.1
4,216.0,92.0,5044.0,17.3,72,3,27.2
8,68.9,105.0,2079.0,14.9,72,1,35.3
6,180.7,121.0,4529.0,19.0,73,3,9.4
6,134.3,135.0,3942.0,17.4,77,2,23.5
4,263.0,178.0,4449.0,12.6,70,2,30.6
6,129.2,71.0,5022.0,9.8,73,2,43.2
4,391.5,102.0,3386.0,14.6,73,1,46.7
6,409.7,145.0,2638.0,16.7,82,3,30.1
8,395.1,154.0,4406.0,16.6,77,2,44.9
6,448.0,145.0,4640.0,15.2,76,2,12.8
4,422.0,126.0,4071.0,13.6,73,2,35.6
6,176.3,177.0,4656.0,14.0,81,2,24.2
4,189.7,84.0,4229.0,12.5,77,2,37.5
4,274.1,98.0,5047.0,17.9,80,3,42.0
4,217.0,128.0,3654.0,22.4,72,2,11.0
8,443.4,174.0,2970.0,23.0,79,2,44.5
8,199.4,61.0,4050.0,24.9,76,2,11.6
6,354.4,67.0,1849.0,9.5,78,1,37.6
4,290.7,190.0,3394.0,11.6,75,3,11.6
8,438.2,94.0,4384.0,20.4,73,2,41.7
4,356.1,223.0,2208.0,19.0,73,3,16.8
6,185.5,223.0,3041.0,10.3,70,2,25.5
4,144.3,172.0,2861.0,18.7,75,1,44.4
8,398.7,178.0,2806.0,14.9,72,1,39.1
8,420.6,166.0,3942.0,24.3,72,1,38.9
4,389.6,79.0,3391.0,22.5,70,1,38.0
4,353.4,138.0,4470.0,9.2,76,2,30.6
4,192.5,192.0,1808.0,9.5,78,3,45.2
4,263.6,189.0,3234.0,15.1,72,2,40.6
4,422.4,211.0,1650.0,8.1,76,1,25.7
4,120.2,212.0,2395.0,9.6,78,1,37.2
6,259.5,94.0,4391.0,23.9,72,2,46.9
6,205.6,179.0,1982.0,21.5,78,2,42.1
8,330.2,166.0,1980.0,19.4,80,3,9.0
4,313.4,209.0,3045.0,22.1,71,3,37.0
6,284.7,80.0,4397.0,12.3,72,3,43.1
4,176.2,182.0,3897.0,20.3,80,3,21.5
8,129.7,124.0,4414.0,18.5,73,1,46.1
6,371.5,119.0,1778.0,22.4,76,1,24.2
4,451.8,53.0,3629.0,12.8,80,3,25.0
4,133.4,223.0,3232.0,21.0,78,3,15.1
4,97.3,170.0,4826.0,22.5,82,1,12.7
4,356.6,155.0,4254.0,17.3,70,1,29.4
4,201.1,92.0,3128.0,15.0,81,1,31.9
4,150.4,167.0,3594.0,24.1,78,3,22.9
8,271.2,220.0,3129.0,10.9,79,3,32.1
4,329.3,76.0,3188.0,8.6,82,1,24.0
4,151.1,227.0,3883.0,11.0,74,1,42.0
6,452.9,125.0,2380.0,19.6,73,2,45.2
4,195.0,226.0,2799.0,21.4,82,2,31.6
4,189.9,163.0,2605.0,20.2,80,1,41.0
6,231.7,106.0,4483.0,15.1,81,1,41.4
6,356.3,115.0,4991.0,24.4,75,2,36.1
4,406.0,99.0,3091.0,15.6,79,3,16.3
8,193.4,108.0,1878.0,24.7,74,1,14.9
6,114.0,165.0,1937.0,23.6,74,1,43.9
6,167.1,49.0,3039.0,14.9,81,1,19.1
4,100.6,224.0,3022.0,10.7,74,3,18.4
6,311.9,187.0,2126.0,9.5,77,2,15.3
4,354.6,219.0,4506.0,17.0,82,3,29.0
8,234.1,178.0,3400.0,21.0,79,3,34.7
8,436.7,135.0,1993.0,11.0,77,1,34.7
4,349.6,81.0,1955.0,13.4,79,1,18.9
8,214.9,141.0,3205.0,18.7,73,2,12.6
4,107.6,177.0,2021.0,15.8,82,3,20.8
6,259.1,203.0,3620.0,18.3,78,2,28.1
6,263.0,106.0,2986.0,19.5,77,3,32.3
4,281.1,140.0,4911.0,14.5,81,1,19.3
4,332.1,160.0,3108.0,21.4,75,2,16.0
6,170.3,154.0,3812.0,19.9,71,3,41.0
4,69.0,56.0,4521.0,19.7,78,1,41.6
6,382.6,135.0,2690.0,10.5,75,1,19.6
4,386.7,195.0,3443.0,16.1,77,3,30.3
6,420.8,194.0,2035.0,17.8,75,1,25.7
8,443.0,139.0,3158.0,11.8,74,3,14.4
8,129.6,221.0,2953.0,20.9,76,3,44.7
6,204.9,198.0,3141.0,10.1,81,3,9.4
6,397.5,182.0,1987.0,10.5,73,3,16.1
6,429.5,141.0,3034.0,15.0,79,1,22.1
6,73.6,155.0,4733.0,10.3,80,3,41.5
6,218.0,87.0,4973.0,8.2,72,3,39.0
8,111.9,144.0,2470.0,15.0,80,3,31.0
6,373.1,143.0,2682.0,19.0,81,1,35.4
4,357.1,83.0,1634.0,16.4,76,2,22.0
8,359.9,221.0,2016.0,8.9,71,3,44.7
6,219.0,91.0,2842.0,12.0,79,2,10.0
4,225.2,65.0,4066.0,16.9,72,2,12.8
8,169.3,132.0,2652.0,20.5,70,3,44.2
4,207.7,172.0,1871.0,21.5,80,2,44.9
6,448.5,82.0,4231.0,16.8,81,2,27.6
4,86.0,80.0,3280.0,19.0,70,3,30.9
4,193.4,94.0,3469.0,23.4,71,1,43.3
8,373.7,102.0,2774.0,9.1,82,2,41.4
4,216.0,91.0,3807.0,9.7,70,3,41.8
4,435.6,133.0,4807.0,15.8,71,3,23.1
8,196.5,49.0,3594.0,18.4,70,2,40.6
6,396.9,62.0,3715.0,8.1,72,2,11.6
4,383.4,180.0,2945.0,15.7,78,2,27.5
6,71.6,122.0,1897.0,10.9,78,3,18.0
8,224.0,112.0,3143.0,19.0,77,3,10.4
6,176.6,48.0,4929.0,12.6,78,1,32.5
4,253.6,101.0,4049.0,23.3,81,1,11.9
4,247.1,197.0,3365.0,9.1,73,3,13.6
6,418.4,109.0,3835.0,21.8,77,1,12.1
6,139.0,223.0,3611.0,14.7,80,2,46.1
4,138.5,118.0,4885.0,22.6,74,1,10.5
8,109.8,131.0,2406.0,21.9,73,1,19.3
4,353.9,194.0,4799.0,12.1,82,3,33.8
4,423.2,227.0,4078.0,8.9,73,3,40.3
6,210.6,114.0,2060.0,19.8,71,2,32.1
4,91.9,68.0,2939.0,11.5,79,1,46.1
6,128.4,142.0,3171.0,23.8,78,3,21.8
8,107.6,155.0,1899.0,9.1,82,3,26.9
4,297.2,223.0,3595.0,13.5,78,3,40.2
