pH,nitrogen,phosphorus,potassium,organic_matter,moisture,soil_type
8.1,116.8,63.2,184.3,9.35,33.0,peaty
6.3,190.7,1.7,158.9,3.49,71.9,peaty
8.3,102.4,17.3,297.1,3.97,64.4,silty
7.8,28.0,34.9,237.5,2.41,10.8,loamy
9.4,78.7,94.9,226.7,8.37,57.5,clay
4.8,124.8,7.8,188.2,1.22,45.4,peaty
3.8,152.6,71.0,158.5,3.55,12.8,silty
6.3,121.4,3.3,103.4,0.1,47.4,sandy
5.5,6.9,36.3,235.2,5.95,19.4,loamy
9.8,28.6,77.0,56.9,6.58,58.1,peaty
3.1,74.4,34.4,11.0,2.49,25.9,clay
9.5,141.1,43.0,209.5,7.37,16.3,peaty
9.7,116.9,90.5,43.5,3.82,11.1,clay
3.4,8.9,6.6,271.1,3.12,41.8,loamy
9.2,159.4,52.8,231.2,9.56,20.0,clay
6.3,121.0,36.6,180.7,5.89,69.1,clay
8.4,177.4,96.4,94.2,2.52,5.2,silty
3.6,83.5,79.4,191.4,9.83,68.3,loamy
9.7,98.0,12.2,143.1,3.88,44.1,peaty
7.3,81.1,92.7,87.3,6.48,74.2,sandy
9.3,144.5,21.1,283.5,7.24,20.3,loamy
7.7,150.4,8.5,48.6,4.22,12.7,loamy
6.8,144.6,54.2,226.0,5.36,51.9,sandy
4.2,58.3,73.7,240.0,2.4,58.0,peaty
4.2,127.2,71.6,285.5,4.66,32.9,silty
6.3,67.7,53.4,164.8,3.11,6.0,peaty
9.1,166.8,49.3,160.5,5.47,35.5,sandy
3.8,11.0,97.0,276.1,6.7,22.5,peaty
10.0,7.5,82.1,240.3,6.14,31.1,loamy
9.1,20.3,69.9,229.1,7.77,43.0,silty
5.7,40.5,19.5,236.7,0.42,57.7,clay
4.8,7.5,82.0,148.0,0.79,77.2,peaty
9.5,14.3,75.0,12.4,2.05,15.8,clay
3.9,61.2,99.2,59.5,9.86,56.0,silty
5.4,20.0,13.3,192.9,8.0,22.5,clay
3.6,160.4,71.5,118.8,9.24,21.6,peaty
9.7,10.8,97.9,182.0,2.72,52.5,sandy
7.3,181.6,46.3,165.5,5.74,63.2,loamy
5.4,174.2,73.3,131.6,5.55,78.3,loamy
4.9,41.7,97.5,70.4,5.7,62.7,clay
6.1,14.3,54.7,215.7,7.18,16.8,loamy
3.6,21.1,69.9,272.7,3.94,21.9,loamy
9.2,111.8,2.0,231.0,6.77,62.1,sandy
6.6,120.2,52.0,36.0,7.88,44.5,clay
8.1,63.1,25.6,161.4,2.89,27.2,sandy
4.6,59.4,13.1,250.6,9.46,40.4,sandy
6.5,106.3,70.9,177.3,5.18,73.6,silty
4.5,61.1,3.9,131.9,7.33,61.7,clay
8.7,186.9,90.5,85.4,7.29,38.8,sandy
8.4,76.5,51.8,99.1,5.65,78.5,peaty
4.0,44.0,64.8,72.6,3.23,64.6,loamy
3.5,29.2,25.3,58.7,6.67,5.4,clay
8.8,126.3,18.2,176.7,0.87,13.4,silty
3.8,65.3,24.4,152.8,9.81,46.5,sandy
6.8,37.8,23.2,220.4,1.84,31.2,peaty
6.7,55.2,86.5,92.4,2.75,65.9,loamy
4.4,61.6,78.7,138.2,9.54,72.2,loamy
7.1,125.2,85.3,204.1,1.87,23.0,peaty
6.5,34.9,73.5,289.0,1.7,62.2,clay
6.6,146.6,64.4,104.7,8.05,45.2,loamy
5.5,61.0,52.8,89.5,2.51,34.4,loamy
8.9,97.7,26.5,134.8,0.95,64.0,loamy
3.6,131.0,70.5,217.2,2.27,47.4,sandy
6.1,108.7,13.7,288.5,8.88,52.6,sandy
4.8,132.4,51.1,161.0,2.8,9.7,loamy
8.9,64.5,19.5,243.7,6.95,48.9,silty
4.6,192.7,50.5,139.3,3.95,27.6,loamy
8.4,91.8,29.4,12.0,2.62,42.0,clay
7.3,64.4,5.3,268.3,1.44,21.7,silty
9.1,59.3,50.4,87.0,9.72,51.1,clay
7.2,8.5,18.2,41.6,5.21,16.1,peaty
6.9,137.0,16.1,298.8,1.15,14.2,peaty
8.6,52.5,38.4,104.2,1.99,19.1,sandy
6.9,191.8,36.2,41.0,4.07,66.3,sandy
8.9,42.1,86.7,93.5,5.44,7.5,sandy
3.3,105.9,56.5,154.2,1.82,59.7,peaty
6.5,147.1,85.5,26.4,2.78,9.2,clay
8.7,174.0,14.7,105.8,7.84,49.4,silty
8.9,31.3,35.7,200.7,4.17,63.0,sandy
8.8,197.1,55.5,274.8,0.01,22.3,peaty
7.2,181.3,15.3,119.2,0.54,19.7,sandy
10.0,192.6,12.8,169.4,4.39,26.7,loamy
4.3,170.5,66.1,190.8,0.6,57.5,silty
4.2,175.5,65.4,21.2,1.74,24.1,clay
3.2,119.8,23.4,102.7,7.28,42.6,sandy
9.9,169.1,22.7,205.3,4.8,15.1,loamy
5.4,106.8,74.5,220.7,4.82,39.6,loamy
8.3,107.6,11.7,106.8,5.98,51.9,silty
3.4,112.5,92.3,2.0,7.89,10.4,peaty
5.1,199.3,94.4,2.1,1.59,66.2,peaty
7.4,20.9,87.1,161.4,1.73,75.3,sandy
6.7,161.1,21.1,165.4,1.21,19.5,sandy
4.5,54.7,1.7,166.7,9.37,62.0,peaty
6.2,72.2,93.7,216.5,5.77,28.5,clay
3.8,16.1,34.4,276.4,0.93,55.8,clay
6.8,70.3,31.0,297.1,2.21,28.0,loamy
3.7,198.2,26.2,210.3,7.26,69.7,silty
7.5,79.4,24.5,154.2,0.29,31.0,clay
4.1,133.9,73.5,42.3,7.26,68.7,sandy
