vibration_x,vibration_y,vibration_z,rpm,temperature,fault
-0.396,1.4857,0.8521,903.0,43.4,outer_race
1.4486,0.2407,-0.3446,1341.0,61.6,inner_race
0.3718,-0.4201,-0.5882,2424.0,43.0,ball
0.2408,-0.2424,0.0419,2055.0,95.2,inner_race
1.6666,-0.41,-1.2597,780.0,96.7,inner_race
-0.0015,-0.1973,-0.7106,1208.0,49.2,outer_race
-0.804,1.1545,-1.5283,1732.0,77.4,ball
-1.3267,-1.4999,-1.6983,1630.0,89.5,normal
-0.6851,-0.9702,1.3891,1475.0,44.8,ball
1.1699,-0.5557,1.4063,524.0,98.1,normal
-0.8502,-0.1726,0.6228,1124.0,76.6,ball
0.0725,-0.6504,0.3691,993.0,61.9,normal
-0.5333,0.0814,-1.7397,593.0,73.7,inner_race
0.2778,0.2444,0.3835,1472.0,73.9,normal
-0.3107,0.5622,-1.4684,689.0,47.0,ball
-0.7764,1.133,-1.8755,731.0,74.2,ball
-0.8093,0.7174,-2.1492,2849.0,80.2,inner_race
0.8277,1.7095,-1.1827,2048.0,53.8,normal
-0.141,1.2402,-0.925,1752.0,41.7,inner_race
0.7864,2.4848,0.4901,1111.0,70.5,inner_race
-0.7541,1.5158,-0.6183,1145.0,45.0,inner_race
0.6033,-1.4465,-0.2453,1320.0,55.7,outer_race
-0.8565,0.5262,0.5096,688.0,69.2,ball
-1.763,1.1524,-2.4777,2209.0,42.9,ball
-0.2231,-0.6329,-0.9619,1215.0,95.0,inner_race
0.909,-0.8848,-0.1032,2823.0,61.8,normal
0.6846,-0.527,-1.0827,1357.0,67.4,outer_race
-0.7404,0.2522,0.95,2553.0,73.5,ball
0.3722,1.4916,-1.0079,1061.0,70.7,ball
0.2025,1.618,0.5004,2951.0,52.8,normal
-0.4122,-0.3528,0.4019,1389.0,48.8,outer_race
-0.0888,-0.7015,-0.1662,2874.0,50.7,inner_race
1.0355,0.6199,1.2441,2554.0,62.2,outer_race
-0.3547,-0.7885,-0.0652,1009.0,82.7,inner_race
-0.7795,-1.5451,0.3542,2795.0,79.9,normal
0.2548,-0.2017,0.7643,725.0,76.4,inner_race
-1.1672,-1.677,0.0799,976.0,50.0,inner_race
-0.1916,1.0614,-0.0234,1876.0,45.6,ball
0.4299,-0.0543,-0.1339,2690.0,50.8,normal
0.1484,-0.6052,0.5662,1496.0,87.7,outer_race
-0.2766,0.7633,0.5515,913.0,87.4,normal
0.1901,0.0235,-0.5637,575.0,80.9,inner_race
0.726,-1.6115,1.1029,2399.0,94.0,outer_race
1.1558,-0.3907,1.4044,2160.0,42.9,outer_race
-1.9312,-1.415,-0.5506,1820.0,79.0,outer_race
-1.171,0.149,0.6129,921.0,89.6,normal
-0.7199,0.3629,1.955,999.0,71.2,normal
1.3146,1.5972,-0.2684,2059.0,64.7,outer_race
0.0616,0.1153,-0.0018,2997.0,80.9,ball
-0.4668,-0.9486,-1.8464,836.0,82.6,outer_race
-0.5342,-0.878,0.553,2853.0,80.7,ball
-0.3625,-0.6124,-1.3853,2842.0,97.6,outer_race
-0.2471,0.525,-0.2045,2689.0,98.1,inner_race
-0.1676,0.4818,-0.1989,1840.0,77.8,outer_race
-0.2762,-0.7212,-0.8886,1651.0,97.9,inner_race
0.3332,1.5782,1.6368,674.0,95.6,normal
0.3643,1.2942,-0.3904,671.0,53.7,outer_race
-1.4349,0.7671,0.9054,981.0,83.8,inner_race
0.9155,-0.5145,-1.2225,1709.0,59.3,ball
0.5854,-1.8642,-0.5999,1657.0,87.9,ball
-0.3874,-0.9278,-1.0467,1341.0,58.0,normal
-0.2667,0.116,-1.9428,2347.0,53.8,inner_race
-0.0682,-0.7164,-0.5867,683.0,98.3,ball
1.3409,-0.0202,1.1837,2606.0,56.3,normal
0.2514,-0.2091,0.4497,572.0,82.2,normal
1.8487,0.1233,0.2643,2809.0,43.3,normal
-0.5099,-0.8474,1.0401,2365.0,70.0,ball
-0.4894,1.4072,1.7427,2074.0,71.0,outer_race
0.0295,1.4871,-1.2401,888.0,85.2,ball
-0.846,0.8405,-2.0475,1272.0,81.1,inner_race
-0.2481,0.849,-0.5984,1723.0,78.1,inner_race
-0.6863,1.4948,2.1655,2415.0,57.1,normal
1.3329,-1.6466,-0.0238,1016.0,66.0,inner_race
0.2896,-2.2234,0.2943,2589.0,75.8,outer_race
-1.3288,0.7367,-0.2907,2503.0,63.7,normal
-0.8824,1.777,0.4836,2049.0,92.9,outer_race
0.1247,-0.302,0.1583,2198.0,94.7,normal
-0.6956,0.1769,0.0559,1036.0,70.5,ball
0.4381,-0.4686,-0.0435,1194.0,47.1,normal
0.3038,0.1549,0.147,2246.0,54.5,inner_race
-1.4499,0.4421,-1.0338,645.0,96.6,outer_race
-0.0823,1.3696,-0.3979,1702.0,87.9,outer_race
0.5456,1.3375,-0.2047,1710.0,83.4,outer_race
0.836,0.1122,-0.3527,1312.0,62.5,inner_race
-0.3853,-0.7087,2.265,1573.0,61.2,normal
0.2545,-0.2521,0.2645,2853.0,73.5,outer_race
-0.3006,-0.143,0.2229,2712.0,73.9,ball
-0.0184,1.3981,-0.7285,1081.0,76.2,normal
-0.0247,-0.078,-0.7926,2910.0,74.4,inner_race
0.7387,0.933,-0.2172,1877.0,59.1,ball
0.2681,1.6885,-0.9853,715.0,50.8,ball
-0.954,0.2118,-1.2675,1668.0,98.2,inner_race
-0.5222,0.5365,-1.1825,1495.0,45.5,inner_race
0.5313,-0.3323,1.73,2893.0,89.1,inner_race
-0.7251,0.6044,-1.4458,2243.0,51.8,ball
0.3559,0.751,0.7391,2453.0,97.2,normal
1.2961,0.4103,0.4415,2188.0,70.0,ball
1.0112,-1.3202,0.9479,1484.0,60.3,outer_race
0.7008,0.8522,2.0131,851.0,95.1,inner_race
0.1686,1.6429,0.7364,1678.0,60.4,inner_race
-0.9442,-0.0259,0.0288,1411.0,71.7,ball
-2.9281,-1.4843,-0.8914,667.0,88.0,normal
-0.2674,0.9801,0.1823,1461.0,84.8,outer_race
-1.0573,2.4163,0.9998,1878.0,93.7,ball
-0.7931,0.4882,0.8922,1924.0,62.0,outer_race
-1.2552,-2.2405,-1.6856,2988.0,52.2,normal
2.0314,1.7218,1.1874,1456.0,66.1,normal
0.1551,-0.7129,-0.0804,1269.0,81.0,inner_race
-0.2255,0.1429,1.573,2030.0,55.7,outer_race
-0.0483,1.0558,0.8965,2197.0,80.7,outer_race
-0.7391,1.2221,2.0566,636.0,50.2,outer_race
-0.2481,0.5727,-0.2118,601.0,99.7,inner_race
-0.2093,0.5978,0.9556,1144.0,72.9,outer_race
-0.2581,0.5144,0.0471,1039.0,44.7,normal
0.186,-0.9283,0.3821,2741.0,47.1,normal
0.4146,-0.7461,-1.5601,2759.0,75.4,ball
-0.7817,0.6734,0.8937,1998.0,73.3,ball
0.6297,0.8053,-2.237,2723.0,64.8,ball
-0.053,-0.3328,-0.4488,705.0,76.3,normal
1.5162,-0.3222,0.0628,1337.0,45.9,outer_race
-0.362,-0.2922,0.9094,1181.0,47.4,ball
0.9415,-0.5251,0.5367,740.0,57.5,outer_race
0.3407,0.7116,0.3778,1952.0,89.5,ball
0.677,0.4038,-1.0639,1949.0,54.4,ball
1.5006,-1.1959,0.1714,1669.0,84.3,outer_race
-1.4766,-0.5386,0.729,2765.0,74.7,outer_race
-0.9355,-0.5974,-0.6417,1837.0,60.5,normal
0.2252,-0.3277,-0.9669,1874.0,47.6,normal
1.7766,-0.9798,0.2063,506.0,83.7,normal
0.3171,-0.1977,-2.1785,1623.0,66.1,inner_race
0.2868,-1.6699,-0.9956,948.0,76.5,ball
-1.1016,-0.3356,0.466,1795.0,66.7,outer_race
0.0256,0.6725,2.0576,2026.0,81.4,outer_race
-0.2862,0.2864,0.7221,2226.0,43.3,normal
-1.3928,-0.743,-0.4878,2198.0,42.9,inner_race
0.3828,-0.0565,-2.4483,1205.0,55.8,ball
1.8565,0.3997,0.7424,1810.0,88.0,normal
0.768,-0.879,0.5753,1934.0,65.6,inner_race
-0.9597,-0.2721,-1.5771,2616.0,98.6,inner_race
0.0003,1.5128,-0.5907,1278.0,86.8,ball
-0.6415,0.7179,-0.499,888.0,76.7,outer_race
1.3926,0.2384,3.3853,2161.0,55.4,outer_race
0.7972,0.281,-1.7232,2407.0,55.8,ball
1.4096,-0.014,1.1598,2904.0,60.4,normal
0.3389,1.0247,0.2771,1666.0,90.8,ball
-0.1341,-1.2798,1.2901,2342.0,87.9,normal
-1.2297,0.2105,-1.5776,1761.0,84.1,ball
0.4577,-0.8102,0.3742,836.0,71.5,outer_race
-0.7714,-1.0482,0.9046,2794.0,62.2,normal
-0.8381,-0.0504,-0.0095,2064.0,84.1,ball
0.5266,-0.8824,-0.9816,577.0,60.0,ball
0.9328,1.6194,0.136,1624.0,86.5,normal
-0.0553,0.1275,-1.3634,1077.0,49.1,outer_race
-0.9348,-1.1887,0.0921,2719.0,77.5,normal
0.1711,-0.7196,0.0633,1687.0,45.9,outer_race
1.9918,1.0311,0.8614,1658.0,73.4,ball
-0.301,0.6466,-0.1184,1293.0,45.9,inner_race
-0.2708,0.6758,0.063,612.0,93.8,outer_race
-0.0844,1.4269,1.6365,1203.0,64.2,outer_race
-0.537,0.4063,-1.5992,1892.0,78.1,outer_race
0.4366,0.886,0.6791,1317.0,60.5,inner_race
0.9119,1.2076,0.0343,638.0,72.6,normal
-0.4662,1.1806,-1.1733,2459.0,83.2,ball
-1.4081,0.7589,-0.0108,1892.0,60.5,outer_race
1.7141,-0.6487,2.3099,979.0,52.8,inner_race
1.3687,-0.8456,0.2451,1881.0,81.6,inner_race
1.244,-0.3614,1.4442,2231.0,47.7,outer_race
1.0631,-0.3179,0.691,2147.0,89.5,inner_race
-0.6043,0.096,-0.605,2104.0,73.4,ball
-0.7843,-0.3077,0.169,893.0,48.7,normal
1.321,-1.2536,0.4483,584.0,68.0,normal
-0.7814,0.2088,0.0213,878.0,61.4,inner_race
-1.967,-0.6361,1.5399,1848.0,49.4,outer_race
0.4885,-0.3347,-0.2901,1924.0,42.3,ball
0.4044,0.9706,0.4985,2177.0,66.8,normal
2.0927,0.3513,-0.1225,1630.0,79.1,ball
-0.8983,-0.608,1.1985,2878.0,93.3,normal
-0.3714,0.5428,-0.4384,1562.0,60.0,outer_race
-0.3993,0.0162,-0.4967,1774.0,58.3,ball
-0.8365,-0.505,0.4057,1927.0,71.8,inner_race
0.7751,-1.4131,0.4723,2138.0,74.1,inner_race
-0.1663,0.376,0.7944,546.0,48.5,normal
-1.6231,0.0607,-0.5215,1831.0,44.5,outer_race
-1.8784,-1.9136,-0.6813,2505.0,50.7,outer_race
-1.915,0.6513,1.7003,1224.0,76.8,ball
1.9616,-0.0446,0.8799,1372.0,63.5,outer_race
1.1909,0.7754,-1.4385,1746.0,45.6,inner_race
-0.3627,-0.2034,-1.11,1374.0,86.9,outer_race
1.4865,0.6715,-0.8712,939.0,78.0,ball
1.4748,-0.2513,1.1482,2070.0,90.1,outer_race
-1.2751,0.9889,0.0984,2886.0,58.3,inner_race
-1.7173,-0.3086,-0.8856,1500.0,74.0,normal
-0.4313,-0.4959,0.4396,1708.0,82.3,ball
0.0694,0.8164,1.3284,693.0,95.2,outer_race
-2.0388,3.051,0.9868,1437.0,43.1,outer_race
-1.4651,0.4394,0.7168,1754.0,95.1,ball
0.6615,0.0054,-1.7486,1057.0,51.3,ball
0.7202,0.6204,-0.4659,2938.0,64.4,inner_race
1.1393,1.3102,0.6026,569.0,47.6,ball
-1.6393,1.1496,-1.1373,2664.0,92.9,inner_race
-1.2402,1.7822,1.2449,1983.0,56.6,normal
0.6945,1.2072,-0.4507,1437.0,76.4,normal
-0.4745,-0.1868,-0.2188,1338.0,68.3,outer_race
0.079,0.8909,1.5437,607.0,92.6,inner_race
0.3385,-1.1821,-0.8235,1006.0,42.4,ball
0.4398,0.7877,-0.2249,1695.0,64.9,outer_race
0.6183,-1.1429,-1.5952,2620.0,55.3,outer_race
-1.5697,1.7012,0.9503,2503.0,55.5,outer_race
-0.9892,-1.5522,3.092,1902.0,71.9,outer_race
0.7976,-1.555,-1.5529,1195.0,54.4,normal
-0.4804,-0.3192,-2.2747,1461.0,71.3,inner_race
2.4217,0.1355,0.7383,547.0,48.1,inner_race
