house_age,distance_to_station,num_stores,latitude,longitude,price_per_unit
13.9,5667.0,1,24.9627,121.5371,114.0
13.7,2189.0,1,24.9767,121.552,54.2
14.4,6582.0,5,25.0578,121.5608,58.9
40.1,746.0,0,24.9521,121.582,17.5
40.9,2265.0,4,24.9957,121.4732,26.7
0.7,4574.0,0,24.9126,121.5725,86.1
14.6,6996.0,6,24.9348,121.5455,35.9
17.6,3265.0,2,24.9419,121.5076,95.1
44.2,5677.0,8,24.9927,121.5909,87.6
42.5,6412.0,4,25.0642,121.5895,92.2
28.3,77.0,0,24.9709,121.5795,86.0
2.1,2030.0,9,24.9761,121.4404,87.8
8.6,712.0,3,24.9602,121.4416,70.1
19.5,5435.0,7,24.9641,121.5802,84.6
43.2,3974.0,6,24.9807,121.4796,67.9
4.3,678.0,5,25.0799,121.5595,32.7
35.6,2951.0,8,24.9049,121.5374,33.9
8.6,3603.0,3,25.0249,121.5525,54.6
22.9,4887.0,9,25.0775,121.4053,11.5
34.5,5459.0,0,24.9834,121.486,107.8
