temp,vibration,pressure,humidity,speed,quality_score,defect
143.2,1.591,151.5,69.0,2536.0,20.96,1
91.3,2.46,138.8,44.7,1484.0,79.46,0
134.4,0.979,155.1,85.7,1438.0,54.82,1
129.2,2.19,182.5,36.4,2085.0,34.97,0
127.9,4.365,179.4,42.4,1941.0,76.35,0
117.4,0.681,176.9,68.2,792.0,96.49,0
99.9,2.651,129.4,75.7,1970.0,25.88,0
89.0,3.104,126.8,60.4,2589.0,35.23,0
108.1,1.565,104.8,40.2,1236.0,29.33,0
102.7,3.68,83.8,60.1,940.0,64.46,1
85.1,3.319,140.6,35.3,274.0,72.43,0
99.3,2.32,197.0,24.0,1855.0,47.84,0
86.5,3.2,170.3,84.4,2291.0,21.46,1
115.8,4.201,145.7,53.7,2906.0,32.13,1
133.5,3.002,115.8,53.6,1875.0,74.73,0
128.7,2.844,94.6,72.1,1399.0,88.37,1
84.1,3.107,111.7,59.2,2812.0,50.8,0
100.9,3.378,144.1,51.8,619.0,24.87,0
51.1,2.016,154.9,75.6,2154.0,66.57,0
137.0,4.184,123.9,53.3,1049.0,63.94,1
74.5,4.62,92.6,83.9,2598.0,90.92,0
94.1,3.109,111.6,41.4,2261.0,28.5,0
65.3,4.434,110.8,22.4,1067.0,81.74,0
117.8,3.723,144.2,30.4,2347.0,67.06,1
104.5,2.115,92.4,77.3,2682.0,84.0,0
86.5,2.48,114.6,84.8,832.0,10.29,0
103.5,2.851,121.2,25.3,1758.0,82.72,0
66.9,4.695,143.3,83.6,1317.0,47.71,0
127.6,3.24,115.8,86.1,2785.0,77.45,0
76.6,2.543,98.0,72.8,2920.0,24.32,0
111.5,0.617,83.1,73.3,401.0,34.77,1
139.9,3.334,100.8,20.1,1691.0,41.47,0
53.9,2.774,179.0,35.6,1640.0,55.02,1
88.8,4.7,122.0,35.0,2619.0,51.04,0
63.5,1.71,144.7,60.7,2359.0,23.65,0
140.9,3.977,138.8,66.0,933.0,90.37,0
86.0,1.413,113.2,83.1,1614.0,94.44,0
71.3,0.859,181.2,54.2,1197.0,23.72,0
117.6,0.061,192.6,55.1,1124.0,39.09,0
104.3,4.477,105.5,23.8,2220.0,80.47,0
131.7,2.223,176.9,89.8,1838.0,78.27,0
125.3,1.406,170.7,86.2,677.0,97.37,0
147.5,2.016,180.6,25.0,1900.0,94.74,0
59.1,3.559,129.1,59.0,1445.0,87.5,0
58.0,1.966,162.4,44.3,1089.0,58.66,0
140.7,1.129,102.8,50.0,293.0,33.79,1
145.6,0.439,196.2,65.6,2793.0,52.25,0
90.7,3.109,166.7,49.4,2599.0,77.12,1
95.6,4.863,89.2,54.7,980.0,10.44,1
86.9,3.174,185.4,39.1,1713.0,70.31,0
127.8,4.734,195.1,25.8,2608.0,89.61,1
127.1,4.39,120.0,72.9,1606.0,21.05,1
72.0,0.779,144.7,46.5,511.0,81.12,1
88.4,4.395,199.0,82.1,1477.0,89.08,0
71.2,0.005,134.1,86.1,1011.0,6.7,0
54.7,2.548,159.9,26.2,1428.0,95.8,0
55.6,2.614,134.3,67.9,2559.0,50.22,0
64.7,3.634,89.1,77.4,1286.0,45.79,0
53.0,3.78,141.1,65.3,2418.0,60.26,0
92.3,1.158,179.2,43.0,775.0,21.37,0
56.4,4.41,85.0,39.9,1822.0,66.36,0
134.7,0.896,132.9,52.4,1336.0,80.89,0
121.2,4.807,178.7,38.1,2922.0,32.23,0
128.4,4.926,122.4,82.7,102.0,25.55,0
111.7,3.484,197.3,23.4,1155.0,91.5,1
116.4,3.243,126.0,27.9,2459.0,46.75,0
61.3,4.896,174.0,62.5,1235.0,62.89,0
55.8,1.21,109.5,66.1,731.0,85.53,0
148.9,3.213,119.9,71.5,2575.0,71.7,0
87.3,2.031,166.5,39.3,1816.0,32.18,1
55.1,0.838,86.8,40.6,1714.0,2.05,0
66.0,0.639,91.3,49.0,1262.0,46.89,1
137.4,3.502,112.0,36.4,557.0,24.85,1
70.6,1.145,110.1,46.4,1769.0,41.96,1
96.7,2.997,87.9,68.8,1565.0,45.84,0
116.7,1.188,196.6,54.9,1266.0,86.57,0
146.6,2.269,115.2,87.7,323.0,76.68,0
51.4,3.712,166.7,60.6,1988.0,19.59,1
98.8,2.641,127.2,43.0,1932.0,31.59,1
149.6,4.357,198.9,32.7,1721.0,58.36,0
62.2,2.631,96.8,35.4,481.0,56.55,0
62.4,0.971,124.9,21.1,978.0,54.57,0
58.7,4.486,131.8,50.9,1463.0,95.23,0
100.8,2.09,166.1,87.2,2230.0,69.27,0
84.8,4.337,139.5,74.4,746.0,9.71,0
121.6,1.162,170.0,41.0,2422.0,94.05,0
107.1,3.181,180.9,75.9,1026.0,46.32,0
108.1,0.826,114.7,85.2,2031.0,58.06,0
101.1,0.4,176.5,67.1,2817.0,81.95,0
149.2,4.994,139.0,55.8,2171.0,21.33,0
103.9,0.053,89.2,29.5,301.0,51.19,1
57.2,2.956,115.6,25.6,1192.0,85.94,1
82.2,0.067,176.4,35.3,1777.0,73.66,0
128.1,2.759,126.7,66.4,2052.0,35.05,0
112.8,0.5,91.2,30.8,1100.0,58.92,0
118.4,3.938,156.6,57.3,1343.0,0.8,0
142.2,1.464,182.0,50.6,1190.0,4.73,0
94.4,1.722,95.9,64.0,2124.0,11.34,0
52.0,1.262,145.2,23.6,2749.0,69.45,0
149.0,0.57,104.9,88.6,2357.0,62.01,0
95.5,2.502,120.5,68.3,863.0,91.61,1
59.8,2.238,129.7,70.5,1666.0,70.86,1
104.9,2.697,80.6,21.1,1487.0,42.06,1
109.0,3.13,122.7,25.6,145.0,86.69,0
106.4,0.443,117.1,68.1,2821.0,4.27,0
146.5,2.068,160.2,27.7,1451.0,1.01,0
82.0,2.963,185.6,82.7,2835.0,25.03,1
53.5,1.616,92.6,63.5,2026.0,12.76,0
142.0,0.957,137.9,25.0,2154.0,27.02,0
69.1,3.032,113.2,63.0,1338.0,30.56,0
124.9,3.592,198.5,76.2,2588.0,45.54,0
70.4,3.753,173.6,76.1,638.0,61.06,0
132.9,1.628,94.1,48.1,2882.0,35.25,0
140.6,0.495,124.3,52.2,1887.0,96.72,0
60.5,4.578,93.3,71.5,1064.0,54.17,0
64.7,3.439,174.4,81.2,2244.0,87.62,0
142.5,4.742,138.5,75.6,2261.0,80.23,0
127.1,0.728,157.7,61.7,2346.0,4.81,0
53.9,3.286,149.0,70.7,951.0,47.14,0
68.2,0.982,101.9,65.7,174.0,80.65,0
91.2,4.332,81.6,60.4,2679.0,90.66,1
136.4,2.598,184.4,84.4,2413.0,63.29,0
65.1,2.663,91.1,65.4,1265.0,93.2,1
122.4,4.654,175.0,46.7,582.0,66.33,1
58.4,1.52,103.0,88.2,1460.0,20.85,0
96.7,3.095,182.3,86.5,987.0,55.85,1
122.9,0.722,151.2,74.6,663.0,75.6,0
56.5,1.816,127.9,22.3,1510.0,66.64,0
70.4,0.974,159.0,71.0,2506.0,8.34,0
129.2,1.007,112.9,22.1,1787.0,23.7,1
66.4,3.305,130.2,25.2,1514.0,68.78,0
116.8,1.432,178.9,44.7,2983.0,52.83,0
114.2,1.255,81.1,42.1,2305.0,3.09,0
102.0,4.04,108.1,59.5,483.0,73.84,0
70.2,2.369,169.0,37.1,1309.0,7.94,0
91.7,1.9,166.3,33.9,1448.0,18.48,0
112.2,4.076,99.6,66.7,1871.0,90.45,0
138.2,2.444,198.0,51.0,2077.0,31.51,0
129.8,4.075,161.2,23.7,1044.0,3.43,0
110.7,1.592,124.6,51.0,1165.0,1.74,1
72.8,4.81,122.1,73.1,400.0,93.55,0
71.7,4.618,142.7,24.7,359.0,37.25,1
131.4,4.118,84.3,84.1,2298.0,62.12,0
116.4,1.064,165.7,53.4,2786.0,41.39,1
85.8,3.637,88.2,55.8,671.0,21.34,0
147.1,4.088,158.4,41.0,2777.0,87.77,0
139.0,1.817,176.2,65.3,1097.0,94.97,0
117.2,0.702,188.6,21.5,2654.0,98.78,0
86.9,1.348,97.7,71.7,176.0,4.14,0
80.9,2.928,169.5,26.9,363.0,5.04,0
143.9,1.259,198.0,51.1,1361.0,85.8,0
94.3,3.308,88.1,30.3,2559.0,17.62,0
130.0,1.959,83.4,31.9,1403.0,56.17,0
144.0,1.128,105.5,52.5,2535.0,57.98,0
99.2,3.066,104.6,24.6,1088.0,66.19,1
115.3,0.369,118.3,30.5,484.0,3.76,0
58.6,3.124,190.8,58.1,2784.0,30.86,1
115.3,4.872,162.0,68.7,322.0,51.42,0
71.5,3.557,81.3,45.2,2151.0,17.44,0
117.1,1.64,139.4,80.6,2661.0,94.4,1
60.1,4.506,185.1,31.3,448.0,82.88,0
99.5,2.639,144.1,59.2,1605.0,13.94,0
102.1,2.642,103.3,26.3,253.0,67.09,0
98.4,1.892,194.5,31.7,1431.0,41.02,0
125.7,0.261,116.9,83.6,2383.0,31.15,0
125.5,1.35,122.0,89.5,982.0,29.1,0
120.6,4.092,122.8,89.8,776.0,66.27,0
113.2,1.299,127.4,76.0,830.0,90.36,0
140.4,2.062,165.1,34.0,2395.0,83.63,0
107.6,3.17,117.7,40.0,2924.0,34.9,0
84.8,1.412,135.8,26.2,762.0,70.77,0
55.9,4.059,111.6,23.8,299.0,52.74,0
103.6,4.494,141.0,71.3,465.0,44.04,0
72.8,0.308,193.7,57.8,1922.0,29.67,1
88.7,2.873,114.8,66.2,2061.0,8.12,1
55.0,1.747,178.0,60.6,1403.0,19.24,0
114.1,2.772,106.3,20.8,330.0,56.64,0
138.7,2.734,97.4,42.4,2791.0,72.87,0
82.5,0.05,90.9,68.4,2797.0,3.68,0
130.5,3.242,197.6,80.3,1241.0,37.92,0
62.6,1.08,148.4,30.8,2481.0,16.58,0
122.3,2.796,141.7,28.3,2706.0,60.21,0
58.0,4.477,80.9,87.1,1573.0,86.47,0
75.9,0.961,138.1,87.7,1844.0,92.97,0
86.0,1.351,159.5,72.5,2226.0,88.52,0
65.7,0.318,129.2,24.1,2685.0,87.24,0
68.4,2.459,95.5,64.1,358.0,60.09,0
119.9,4.35,112.1,29.0,254.0,24.3,0
59.6,2.724,165.7,79.2,2058.0,74.7,0
143.4,1.762,137.0,41.2,238.0,72.45,0
126.8,4.529,137.5,53.3,403.0,16.67,1
85.7,2.661,84.6,33.1,1325.0,19.48,0
112.9,4.868,143.5,70.8,628.0,10.93,1
121.9,3.751,131.0,55.2,2707.0,49.87,0
109.4,4.557,185.6,69.4,1062.0,32.16,0
111.8,3.242,125.7,42.4,1775.0,90.01,0
141.6,4.947,153.1,46.4,129.0,3.67,1
138.1,2.627,192.3,82.8,1589.0,32.41,0
141.4,3.203,147.9,37.8,2449.0,87.6,0
138.5,0.671,83.6,83.2,2908.0,99.9,0
118.5,4.684,92.2,25.3,2068.0,72.3,0
99.2,1.675,196.0,31.1,688.0,90.07,1
98.7,3.325,146.3,66.4,1153.0,1.61,0
127.2,1.803,102.7,89.6,555.0,77.17,0
142.4,4.426,148.1,85.4,1080.0,46.16,0
58.8,0.552,194.9,55.6,1728.0,69.04,1
137.7,4.507,85.4,56.9,1513.0,43.0,0
135.0,3.129,143.3,60.1,2634.0,56.93,0
58.8,4.783,96.3,75.5,691.0,26.0,0
115.7,2.518,133.6,58.6,1358.0,57.41,0
147.2,2.466,158.5,28.2,1933.0,29.08,0
135.2,1.794,135.1,78.7,2945.0,28.03,0
56.3,1.645,195.5,82.0,720.0,32.71,0
142.5,0.617,150.2,84.3,2516.0,20.08,0
67.3,1.636,195.6,49.4,1892.0,22.28,0
