Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
1,female,64.7,4,0,185.38,Q,1
3,male,28.4,4,2,10.34,Q,1
3,female,37.7,0,1,262.28,Q,1
1,female,52.3,0,1,279.97,Q,1
3,female,4.8,1,1,171.71,Q,1
1,male,76.0,0,3,210.51,S,0
2,male,71.0,2,0,277.14,C,0
3,female,21.6,4,0,213.64,S,1
2,male,2.2,1,0,50.0,C,0
1,male,74.7,0,3,175.01,S,0
3,male,40.6,2,0,183.98,Q,1
1,male,43.6,2,3,130.12,C,0
2,male,55.0,0,1,222.25,C,0
1,male,49.7,4,2,280.64,S,0
3,female,75.6,0,0,278.04,S,0
3,female,75.6,1,0,138.0,C,0
2,male,69.5,0,1,38.41,S,1
1,female,51.3,2,2,295.53,S,1
3,female,64.3,0,3,252.47,S,1
2,female,54.5,4,2,41.78,Q,0
3,female,46.3,3,1,276.65,Q,1
3,male,11.2,0,1,261.62,S,0
1,female,65.1,4,2,158.06,S,0
3,female,65.8,4,3,179.43,Q,0
1,male,50.4,2,3,122.71,Q,0
3,male,65.8,4,0,21.15,C,1
2,female,52.5,4,3,103.88,C,1
3,female,17.3,4,2,241.84,Q,0
1,female,22.6,4,1,6.37,S,1
1,female,18.0,1,0,103.38,S,0
2,female,30.8,1,0,122.46,S,1
3,female,4.1,2,1,163.53,S,1
3,male,49.8,0,3,276.36,C,0
2,female,27.6,4,1,107.17,Q,1
3,female,52.8,0,3,107.35,S,0
3,male,31.4,0,1,222.56,C,1
1,male,54.8,2,2,138.4,S,0
3,male,27.9,4,3,71.26,Q,0
3,male,21.6,4,2,138.47,C,1
2,female,40.2,3,0,46.55,Q,1
2,female,55.7,0,1,57.03,Q,0
1,female,28.5,0,0,152.02,C,1
3,female,75.0,1,0,128.58,C,1
3,female,4.1,3,0,274.88,C,0
3,female,34.0,1,0,111.91,C,0
1,male,77.4,1,1,176.27,C,1
1,female,44.3,1,0,191.52,C,0
2,male,34.5,2,1,8.86,C,0
1,male,45.9,2,1,200.74,S,0
3,female,46.5,1,2,57.52,Q,1
3,male,58.8,3,3,288.52,C,1
1,female,11.1,0,3,48.86,S,0
3,male,20.8,3,1,127.31,S,1
3,female,46.9,4,2,30.18,S,0
1,male,69.5,2,1,299.08,Q,1
1,female,45.4,0,1,153.15,C,0
3,female,19.8,0,1,180.64,S,0
3,female,54.7,4,2,24.79,Q,1
3,female,59.5,4,3,226.24,Q,0
2,female,19.8,1,2,66.92,Q,1
2,male,30.8,2,0,269.93,S,1
2,male,43.2,2,2,65.52,C,0
1,male,40.2,3,2,61.25,S,0
2,female,31.8,1,2,15.78,S,1
1,male,24.5,1,2,144.26,C,0
1,female,8.9,1,3,171.63,C,0
2,female,5.2,1,0,24.38,C,0
2,male,76.7,2,3,233.78,Q,0
2,male,67.9,2,3,138.72,C,0
3,female,29.0,1,2,159.7,S,1
2,male,76.6,3,1,135.03,C,1
3,female,54.5,0,1,123.23,S,0
1,female,39.1,0,3,170.09,Q,0
3,female,39.9,3,3,50.8,S,0
2,female,7.6,1,2,58.67,S,1
1,female,8.2,2,3,259.23,C,0
1,male,48.6,0,2,284.1,C,1
1,male,44.7,4,1,115.13,S,1
3,female,17.8,4,1,84.87,C,1
2,female,75.7,3,0,194.98,Q,0
1,male,62.7,1,1,125.58,Q,1
1,male,10.0,0,3,12.49,C,0
1,female,74.5,1,1,51.07,Q,1
3,male,78.0,0,2,216.21,C,0
3,female,79.7,3,1,199.38,S,1
2,male,5.4,3,0,12.99,S,0
3,female,59.2,4,1,70.48,Q,1
1,male,44.1,1,2,73.17,C,0
2,female,56.8,4,2,203.21,C,0
1,male,77.5,1,3,10.81,Q,0
1,male,55.4,4,1,35.71,S,0
3,female,67.1,2,2,240.98,Q,1
2,male,69.5,2,0,57.67,S,1
3,female,67.2,2,3,197.56,C,0
3,male,34.7,2,0,75.26,S,1
2,female,18.6,0,1,34.34,Q,0
1,male,32.3,2,1,76.74,C,0
