brand,year,mileage,engine_size,fuel_type,transmission,price
Toyota,2010,9861.0,4.1,diesel,automatic,60113.0
Ford,2005,80635.0,3.9,diesel,manual,6290.0
Toyota,2022,99307.0,1.1,gasoline,automatic,57136.0
Hyundai,2023,8187.0,5.0,hybrid,automatic,35249.0
Ford,2011,134840.0,3.9,electric,manual,27881.0
Toyota,2012,15957.0,4.9,diesel,automatic,64230.0
Hyundai,2016,129585.0,1.3,diesel,automatic,20605.0
Honda,2000,198817.0,3.8,diesel,manual,17000.0
BMW,2021,12125.0,4.0,diesel,automatic,30359.0
Toyota,2005,54436.0,1.3,hybrid,automatic,51460.0
Hyundai,2016,25866.0,1.3,electric,manual,22813.0
Ford,2023,73846.0,4.0,gasoline,automatic,46012.0
Hyundai,2009,167052.0,4.2,electric,manual,32633.0
BMW,2006,185890.0,4.6,gasoline,automatic,33547.0
BMW,2015,167944.0,4.1,hybrid,manual,18640.0
BMW,2006,138214.0,2.0,diesel,manual,27802.0
Honda,2012,143444.0,4.9,diesel,automatic,24086.0
Toyota,2003,24095.0,2.1,diesel,automatic,21745.0
Ford,2014,49741.0,3.9,electric,automatic,9220.0
Toyota,2020,72779.0,3.1,hybrid,manual,36346.0
Toyota,2023,10028.0,1.5,gasoline,automatic,21841.0
Honda,2015,164329.0,4.7,gasoline,automatic,76998.0
Ford,2008,51136.0,3.4,diesel,automatic,49331.0
Honda,2003,10458.0,1.4,gasoline,manual,38575.0
Ford,2015,14617.0,2.5,hybrid,automatic,29025.0
Hyundai,2009,193899.0,4.1,electric,manual,38479.0
Ford,2009,182397.0,3.5,electric,manual,29293.0
Honda,2008,191748.0,1.9,electric,automatic,68978.0
Hyundai,2018,191341.0,3.3,electric,manual,22699.0
Ford,2019,159887.0,2.2,hybrid,automatic,24557.0
BMW,2012,55194.0,3.1,hybrid,automatic,57641.0
Honda,2013,64954.0,2.3,electric,automatic,72371.0
Hyundai,2004,80400.0,3.0,electric,manual,55369.0
BMW,2005,157001.0,4.4,hybrid,manual,9524.0
Hyundai,2009,185355.0,1.8,diesel,automatic,72222.0
Ford,2005,88062.0,1.0,diesel,manual,62238.0
Ford,2009,60295.0,1.6,gasoline,manual,21458.0
Hyundai,2000,48570.0,4.4,hybrid,manual,7821.0
Hyundai,2015,51294.0,2.7,gasoline,automatic,58246.0
Ford,2019,1377.0,4.0,hybrid,automatic,21063.0
Toyota,2006,46826.0,1.1,gasoline,automatic,43333.0
Hyundai,2007,58984.0,1.6,gasoline,automatic,9896.0
Toyota,2013,155118.0,3.3,hybrid,automatic,46748.0
Ford,2007,109706.0,3.9,electric,automatic,4653.0
BMW,2021,66219.0,4.2,electric,automatic,44117.0
BMW,2002,119415.0,3.6,gasoline,manual,67195.0
Honda,2003,157663.0,4.0,gasoline,manual,47717.0
Honda,2019,122009.0,1.7,gasoline,manual,71118.0
Ford,2012,14048.0,3.6,hybrid,manual,45264.0
Hyundai,2005,48201.0,2.7,diesel,manual,55932.0
BMW,2003,57173.0,4.7,gasoline,automatic,31203.0
Hyundai,2020,72587.0,3.5,electric,automatic,25854.0
Toyota,2021,4925.0,3.2,gasoline,automatic,28858.0
Ford,2010,148861.0,3.3,gasoline,manual,10915.0
Honda,2018,94073.0,4.3,hybrid,automatic,22588.0
Ford,2018,179316.0,1.0,electric,automatic,32802.0
Honda,2022,103536.0,4.4,diesel,automatic,29299.0
Ford,2016,197633.0,1.1,electric,manual,41160.0
Ford,2003,140139.0,3.3,hybrid,manual,40597.0
Honda,2018,177373.0,3.0,electric,manual,59626.0
Toyota,2020,194657.0,2.5,hybrid,automatic,33472.0
Ford,2017,94351.0,1.5,electric,automatic,55146.0
BMW,2009,126623.0,1.5,hybrid,automatic,71578.0
Ford,2008,182807.0,4.0,hybrid,automatic,38094.0
Hyundai,2004,115060.0,1.5,hybrid,manual,45614.0
BMW,2013,10559.0,3.7,electric,automatic,55143.0
Hyundai,2009,139397.0,5.0,electric,manual,41046.0
Honda,2003,187147.0,3.7,electric,manual,15566.0
Honda,2019,156233.0,1.3,hybrid,manual,25605.0
Honda,2022,158252.0,3.2,diesel,manual,5170.0
Hyundai,2003,15851.0,4.3,electric,manual,55637.0
Honda,2023,147477.0,4.8,hybrid,manual,24527.0
BMW,2016,6451.0,3.9,electric,automatic,66418.0
Honda,2011,186133.0,2.2,electric,automatic,53505.0
Ford,2010,182861.0,2.0,hybrid,automatic,59682.0
Hyundai,2021,196056.0,4.1,diesel,automatic,70950.0
Hyundai,2013,60639.0,4.0,electric,automatic,35779.0
Hyundai,2008,108055.0,2.9,diesel,automatic,17523.0
Hyundai,2020,115752.0,1.3,diesel,automatic,75034.0
Toyota,2004,111345.0,3.7,hybrid,automatic,79679.0
Honda,2019,82433.0,3.4,electric,manual,19783.0
Ford,2008,197380.0,1.0,diesel,automatic,60056.0
Ford,2017,177339.0,3.6,electric,manual,8565.0
Hyundai,2021,122070.0,1.5,hybrid,manual,5115.0
Ford,2011,129548.0,4.3,hybrid,manual,54985.0
Honda,2007,142850.0,3.7,gasoline,manual,22647.0
BMW,2003,120739.0,1.2,hybrid,automatic,69824.0
Ford,2012,141504.0,3.1,gasoline,automatic,42506.0
Toyota,2003,163299.0,4.2,gasoline,manual,63217.0
Hyundai,2000,195575.0,4.3,diesel,automatic,10967.0
BMW,2013,169813.0,1.3,electric,manual,70334.0
BMW,2021,25871.0,1.3,gasoline,manual,17625.0
Hyundai,2015,109280.0,4.1,gasoline,manual,46753.0
Hyundai,2001,126382.0,1.9,electric,manual,49946.0
Ford,2004,53147.0,3.4,gasoline,automatic,8078.0
Hyundai,2018,95105.0,3.4,electric,manual,78272.0
Toyota,2017,186539.0,3.5,hybrid,manual,26273.0
Honda,2009,51797.0,2.4,diesel,automatic,57987.0
BMW,2016,63457.0,1.2,diesel,automatic,51637.0
Hyundai,2016,181658.0,3.1,diesel,manual,5547.0
Ford,2007,18873.0,3.1,hybrid,manual,69402.0
Hyundai,2021,176033.0,2.7,electric,manual,26441.0
Toyota,2019,60764.0,2.1,diesel,manual,22177.0
Hyundai,2013,99687.0,4.4,electric,manual,7508.0
Toyota,2008,128570.0,2.5,hybrid,automatic,22276.0
Hyundai,2016,129290.0,1.5,diesel,automatic,50745.0
Honda,2013,195996.0,4.0,diesel,automatic,18467.0
Ford,2003,6955.0,3.5,diesel,manual,38921.0
Toyota,2010,140763.0,2.2,gasoline,automatic,64577.0
Hyundai,2006,169124.0,1.6,gasoline,manual,76549.0
BMW,2013,117666.0,2.8,hybrid,manual,56938.0
Toyota,2019,195145.0,1.3,gasoline,manual,18071.0
Honda,2013,83533.0,1.9,electric,automatic,32502.0
Honda,2016,149972.0,4.9,electric,automatic,45662.0
BMW,2014,137274.0,1.6,hybrid,automatic,70098.0
Hyundai,2019,6273.0,2.1,hybrid,automatic,45175.0
Hyundai,2013,110558.0,1.6,electric,manual,40830.0
