CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,LSTAT,MEDV
73.2091,50.5,8.0,1,0.826,8.18,9.9,3.85,5,480.0,12.6,2.81,15.4
75.9618,78.5,2.67,0,0.537,8.29,4.7,5.27,7,531.0,12.3,19.16,11.1
35.5998,12.4,4.23,1,0.433,5.59,12.8,10.21,17,533.0,16.2,13.66,44.5
88.5071,8.3,7.39,0,0.804,8.06,2.4,2.65,23,318.0,13.9,20.23,33.5
75.7611,40.2,5.99,1,0.542,6.52,34.0,4.37,17,313.0,19.6,23.71,7.7
86.6948,88.8,6.38,0,0.494,3.7,31.3,3.87,9,380.0,18.7,8.96,48.2
77.119,85.5,6.85,1,0.618,6.87,12.8,4.26,22,311.0,15.3,30.07,36.2
69.0835,56.0,8.77,0,0.452,5.99,65.8,4.97,23,549.0,12.5,18.94,11.8
84.0024,88.9,3.95,1,0.526,4.96,99.2,3.69,7,506.0,13.8,37.71,48.6
37.3674,80.5,8.14,1,0.569,8.64,90.3,11.37,1,297.0,18.9,2.61,21.4
69.718,27.8,19.43,1,0.516,3.79,26.8,5.62,2,657.0,21.9,8.59,49.3
18.952,17.0,7.0,0,0.601,8.51,77.5,2.26,10,429.0,15.3,26.73,9.6
65.2203,30.1,5.23,1,0.568,4.34,93.8,6.14,19,249.0,20.0,26.94,12.2
69.8977,22.7,2.36,0,0.76,5.5,90.8,3.03,8,295.0,20.7,22.83,34.6
63.7724,62.3,14.25,0,0.83,5.71,88.7,3.38,9,472.0,12.5,36.98,6.0
75.6343,58.5,23.65,1,0.429,7.37,79.1,4.14,15,363.0,21.2,16.78,5.8
36.7904,59.8,2.12,1,0.783,4.64,30.7,2.37,11,640.0,16.7,16.84,40.6
48.4871,18.9,15.41,1,0.837,8.73,10.2,8.93,24,447.0,21.6,34.75,12.6
0.9553,79.2,18.39,1,0.716,7.47,49.8,9.71,12,674.0,17.4,21.25,46.3
13.0039,43.4,16.79,0,0.868,7.69,7.4,5.34,22,235.0,14.4,14.54,24.2
57.3354,47.2,24.63,1,0.544,4.06,99.9,8.58,18,541.0,21.7,27.8,44.3
50.0489,99.7,24.33,1,0.787,6.02,37.1,5.28,2,658.0,14.4,24.19,23.8
17.5674,28.2,2.08,0,0.71,8.51,95.9,2.8,15,338.0,20.8,12.82,28.9
21.6729,39.4,10.43,1,0.538,4.93,77.8,5.37,10,253.0,13.7,12.51,19.2
30.6273,67.6,18.95,0,0.725,4.27,42.3,7.13,7,427.0,18.7,16.06,34.6
63.7626,88.0,26.69,1,0.63,6.07,13.6,1.45,9,699.0,16.1,4.3,19.3
54.2671,12.7,22.63,1,0.473,8.43,25.2,8.2,22,522.0,21.7,35.92,15.0
6.1974,73.5,5.36,1,0.465,6.08,68.0,9.17,17,528.0,13.8,8.34,8.6
67.636,91.8,8.18,1,0.73,5.65,83.3,10.46,14,543.0,16.1,8.74,7.6
23.3811,42.3,21.5,0,0.729,6.95,98.0,2.13,9,201.0,18.4,25.19,18.8
59.7886,28.7,13.47,1,0.64,8.47,15.0,1.0,7,421.0,21.8,27.99,38.1
10.9846,67.8,15.55,0,0.626,3.76,17.3,1.81,15,222.0,15.0,28.45,14.3
88.815,24.6,17.25,0,0.468,4.31,6.2,11.17,3,351.0,16.0,15.32,18.5
7.1553,38.4,3.34,1,0.59,4.2,27.5,9.42,2,624.0,16.6,33.4,45.7
66.0159,89.7,24.04,1,0.807,3.95,82.5,10.19,3,534.0,14.5,21.45,33.8
48.1812,59.0,24.24,1,0.799,5.1,21.4,6.69,2,718.0,20.2,17.62,46.4
7.6541,9.5,13.38,1,0.704,4.72,55.7,6.79,13,273.0,12.9,31.12,46.0
2.392,33.0,17.74,1,0.869,6.41,45.7,4.28,13,394.0,19.0,10.54,7.9
32.2811,62.7,18.65,0,0.818,5.23,33.9,10.27,2,617.0,17.3,32.92,48.0
71.3991,48.1,5.72,0,0.451,5.65,62.6,10.13,20,296.0,14.4,21.26,7.3
3.6682,66.0,3.6,1,0.576,8.49,51.2,5.31,22,263.0,16.9,34.37,46.7
62.6933,76.1,1.07,1,0.445,4.32,34.8,4.62,19,411.0,20.3,9.02,29.6
58.3306,48.1,25.6,0,0.608,5.56,69.5,9.12,9,387.0,16.5,35.68,29.0
23.6373,98.7,10.01,0,0.76,4.86,29.4,1.29,5,709.0,13.2,26.67,37.1
6.9023,91.5,2.86,1,0.456,6.41,65.0,10.46,21,426.0,12.4,24.15,44.6
81.4642,6.0,13.31,0,0.811,7.4,95.8,5.91,7,645.0,19.8,17.02,32.8
26.7353,26.6,2.58,1,0.659,7.83,73.4,5.85,13,660.0,15.3,36.41,24.1
9.9184,30.1,2.84,0,0.747,6.23,43.0,8.36,1,265.0,21.3,17.81,10.0
60.6569,18.4,13.94,1,0.402,8.03,75.3,8.1,9,566.0,18.2,19.8,40.5
19.2893,31.2,14.49,1,0.426,7.66,81.3,3.93,2,330.0,16.4,30.07,10.8
42.3343,42.5,16.45,1,0.684,4.33,33.9,11.38,3,231.0,17.6,12.04,37.7
4.4918,5.2,18.55,0,0.791,4.8,71.1,11.85,12,652.0,16.6,12.28,28.8
88.3756,12.7,18.88,0,0.808,7.06,44.6,6.79,5,338.0,21.1,29.84,22.4
39.8416,9.6,12.41,0,0.717,8.67,82.2,7.18,12,366.0,16.6,6.37,32.6
88.9208,4.6,18.2,0,0.478,5.49,30.9,7.1,4,355.0,13.0,31.57,39.8
34.3287,48.1,8.88,1,0.476,4.72,93.9,6.34,21,288.0,18.0,24.39,47.4
30.9628,33.4,12.64,1,0.812,8.11,58.3,11.4,21,415.0,18.2,21.27,16.9
81.3974,93.5,11.32,0,0.435,4.56,36.6,3.69,12,411.0,19.7,10.02,47.6
29.3265,10.3,9.55,0,0.716,7.2,43.1,2.19,5,401.0,21.3,30.25,48.2
38.4519,92.6,7.06,1,0.641,3.68,36.1,11.23,14,675.0,16.4,30.92,41.6
6.9574,8.7,2.66,1,0.586,3.6,16.3,3.34,14,363.0,15.5,19.23,44.7
85.0364,61.9,14.41,0,0.596,5.89,8.7,9.24,10,196.0,16.9,15.83,36.2
7.5839,24.8,15.28,0,0.843,6.98,33.5,3.24,10,276.0,21.0,10.64,6.8
68.6368,82.7,9.74,0,0.802,4.25,47.0,11.56,5,570.0,21.8,29.08,30.9
47.9395,6.1,27.34,1,0.804,7.55,37.5,9.7,18,499.0,21.7,24.91,38.6
5.4707,95.3,15.82,1,0.579,4.18,3.4,11.11,17,694.0,14.3,9.2,47.4
0.1576,4.7,24.95,1,0.432,6.33,58.7,11.46,10,555.0,17.0,30.54,30.7
83.2647,24.1,16.18,1,0.869,5.13,16.2,1.93,11,285.0,14.6,33.72,40.7
66.055,46.4,5.72,0,0.451,7.49,22.7,5.77,15,245.0,15.7,3.85,36.7
61.0947,75.6,27.3,1,0.633,7.76,13.8,8.13,24,461.0,12.3,29.74,17.6
39.0349,95.1,24.85,0,0.51,3.85,53.0,9.83,19,539.0,13.6,32.66,12.0
21.2412,42.8,13.46,1,0.63,4.52,11.3,3.66,12,269.0,16.0,37.69,38.8
60.5097,75.7,7.18,0,0.529,8.23,27.1,11.06,16,505.0,15.6,10.32,15.5
54.1411,72.7,6.62,0,0.819,5.7,46.3,3.43,23,647.0,14.8,15.17,16.0
64.6461,57.1,22.67,1,0.854,6.03,18.4,10.53,24,573.0,14.3,36.77,34.0
32.5593,69.1,2.4,0,0.581,4.39,45.7,6.64,12,539.0,19.5,5.11,40.5
87.8363,3.8,18.05,0,0.414,8.77,35.6,6.67,22,606.0,14.9,20.71,31.2
5.9694,44.2,18.1,1,0.705,8.39,86.3,5.11,22,236.0,19.1,20.09,44.8
7.099,78.6,5.52,0,0.565,3.51,79.9,2.14,19,290.0,15.7,23.72,14.5
81.6024,47.4,19.89,1,0.863,6.42,99.3,4.82,3,201.0,20.0,13.71,16.4
57.648,87.4,19.9,1,0.424,8.12,53.8,5.69,13,258.0,13.7,35.31,33.7
29.0478,83.4,10.13,1,0.438,5.78,58.4,6.27,21,673.0,13.6,11.5,42.3
67.8152,86.3,13.79,0,0.723,5.82,94.8,9.13,22,300.0,18.8,25.28,29.3
40.3001,13.0,23.4,0,0.752,5.51,41.2,4.87,15,538.0,21.1,19.7,5.5
1.8857,24.4,14.89,1,0.611,3.65,56.5,5.47,17,553.0,13.4,11.38,35.5
57.9503,3.0,17.5,1,0.516,7.69,39.2,10.97,11,528.0,12.7,8.56,41.6
21.6415,98.3,11.85,0,0.532,5.92,55.5,9.28,23,479.0,21.3,36.42,17.4
10.2701,23.6,4.61,1,0.546,6.31,9.9,1.25,12,443.0,13.2,22.07,7.4
20.054,36.7,27.95,1,0.49,4.86,78.8,9.93,17,407.0,14.5,23.63,28.3
42.3812,27.5,15.12,1,0.797,7.66,98.6,11.89,22,675.0,21.3,30.12,6.9
4.4429,4.0,9.75,0,0.412,7.71,8.4,11.34,23,185.0,20.0,4.65,23.7
78.6013,26.1,20.13,0,0.58,6.43,80.5,10.2,5,209.0,15.4,27.61,5.8
49.8353,9.8,17.57,0,0.746,8.29,25.7,7.92,5,446.0,21.5,7.69,15.1
26.0809,39.4,6.9,1,0.382,4.11,21.4,4.06,7,358.0,17.7,28.58,22.5
61.1453,96.7,24.62,1,0.81,7.67,70.0,8.2,3,400.0,12.7,6.83,10.0
71.5782,69.8,2.45,1,0.726,6.46,6.3,8.65,3,719.0,19.0,31.92,10.1
54.6416,70.7,17.16,1,0.416,4.72,47.4,4.1,17,599.0,17.4,26.42,42.2
18.0268,45.3,13.64,0,0.819,4.2,2.1,3.81,24,654.0,17.7,15.71,6.9
9.821,81.1,9.25,0,0.619,5.1,56.3,5.37,2,379.0,21.9,14.73,36.0
76.5319,90.8,23.23,1,0.7,8.04,47.3,8.05,15,309.0,13.5,7.11,41.7
20.8918,96.2,18.55,0,0.812,7.67,91.7,4.22,19,595.0,18.6,34.52,10.9
1.7932,9.9,21.39,1,0.812,6.92,72.6,7.11,23,616.0,16.6,6.0,13.8
57.2204,88.0,11.9,1,0.58,3.98,14.3,10.89,10,477.0,14.7,18.84,33.9
13.6119,22.5,26.42,0,0.496,8.56,36.7,4.25,11,664.0,18.9,10.29,19.2
88.1964,39.7,9.98,0,0.506,5.12,93.3,11.63,24,702.0,18.7,37.87,26.4
77.4068,34.5,15.1,1,0.755,6.72,73.1,6.21,9,434.0,20.6,22.97,42.6
54.154,67.5,26.18,1,0.835,7.76,60.2,2.11,14,300.0,20.8,7.13,11.2
74.215,59.8,2.79,0,0.415,4.2,56.8,1.61,24,459.0,17.6,25.93,32.9
41.8809,10.9,3.49,0,0.387,6.96,41.0,4.73,7,714.0,15.3,37.7,47.4
70.1765,78.3,27.84,0,0.783,3.67,59.3,3.85,10,338.0,17.3,23.66,7.6
57.5436,44.0,27.21,1,0.569,4.04,77.6,10.28,1,514.0,15.6,18.3,7.7
2.5552,0.2,21.72,0,0.515,7.33,14.5,9.11,1,555.0,14.8,12.35,30.0
84.4397,41.5,13.82,0,0.472,4.32,97.0,10.73,14,296.0,17.5,5.04,48.2
76.6227,51.6,14.42,0,0.55,5.85,25.5,7.48,8,498.0,18.6,9.99,14.9
84.8535,6.9,7.57,1,0.856,4.82,45.9,5.79,14,350.0,17.9,21.8,19.9
65.0932,15.1,12.4,0,0.859,5.73,4.2,3.98,7,641.0,21.5,29.06,9.4
36.6769,99.4,12.36,0,0.542,3.91,55.9,7.41,18,566.0,15.0,33.57,21.3
18.4264,87.1,1.49,0,0.852,7.5,39.4,7.8,23,626.0,15.7,30.51,7.0
16.0246,13.3,12.96,0,0.527,3.92,26.5,5.32,9,288.0,18.7,6.25,22.5
12.9027,58.0,13.69,1,0.799,7.94,98.6,11.3,15,199.0,18.0,29.78,30.0
19.6389,37.9,18.81,0,0.484,7.01,44.0,8.04,1,639.0,12.0,22.81,48.9
49.0093,54.4,14.7,1,0.785,5.71,42.6,10.21,11,389.0,15.1,18.73,41.8
60.8552,47.1,24.2,0,0.553,8.09,47.4,7.82,19,277.0,14.5,22.49,42.0
27.9551,4.8,10.61,0,0.476,4.49,13.4,4.48,10,230.0,20.4,1.99,15.3
48.8412,31.5,11.77,0,0.838,4.9,40.5,9.1,18,459.0,20.7,4.16,8.9
30.3754,12.6,16.22,0,0.485,4.23,35.0,3.53,22,261.0,14.8,20.79,32.1
61.9912,48.9,6.07,0,0.866,5.52,47.6,7.56,4,486.0,13.0,8.0,28.5
87.9753,90.7,11.32,0,0.433,8.73,85.9,5.43,18,573.0,14.1,21.5,28.2
61.3244,99.6,19.37,1,0.385,4.35,20.9,2.65,18,469.0,13.8,14.56,9.9
5.2594,94.4,11.82,1,0.807,7.9,61.6,5.55,22,668.0,14.4,34.64,27.2
42.477,98.6,25.43,1,0.667,6.95,5.7,4.41,22,264.0,14.3,36.17,11.8
68.5659,1.5,17.42,1,0.587,3.58,33.0,2.23,20,447.0,16.8,37.27,24.0
48.2622,72.9,4.73,1,0.42,8.51,48.3,10.06,12,268.0,15.2,34.33,7.8
84.6449,27.3,13.9,0,0.662,8.65,9.3,6.48,9,653.0,17.6,37.49,43.6
4.8804,86.6,21.53,0,0.573,8.4,55.3,4.81,18,683.0,15.4,27.33,5.6
25.9171,81.4,18.19,0,0.617,6.16,32.4,6.55,6,396.0,20.1,36.57,47.3
19.6486,42.4,24.84,0,0.689,4.67,99.3,9.3,23,345.0,21.5,25.0,43.8
68.3198,47.3,21.12,1,0.694,5.57,63.8,1.2,19,331.0,16.0,31.07,38.9
46.6204,26.5,2.19,1,0.851,6.76,25.9,7.01,20,644.0,12.5,6.49,49.2
12.3178,28.9,3.59,0,0.701,5.51,12.1,6.27,23,549.0,14.4,26.48,7.4
25.4221,98.1,18.37,0,0.546,7.25,6.0,10.82,15,656.0,13.0,35.5,33.9
46.5195,88.9,7.06,1,0.542,7.72,10.9,7.12,5,243.0,15.4,21.3,43.2
88.6555,19.2,16.67,1,0.614,4.61,68.6,2.51,11,437.0,18.5,8.48,10.7
32.4258,27.6,22.29,0,0.507,5.65,85.8,5.28,13,545.0,17.2,20.83,31.3
13.9626,10.9,16.37,1,0.564,8.58,17.4,7.83,2,664.0,14.4,27.36,22.7
44.2419,98.9,11.93,0,0.793,4.82,41.4,1.51,8,386.0,19.7,29.64,24.6
27.6107,90.7,18.27,0,0.801,5.34,36.7,10.73,11,349.0,13.3,20.71,46.1
50.3737,55.2,4.45,1,0.688,3.69,65.2,1.75,18,673.0,14.3,9.59,29.2
41.5404,69.3,20.39,1,0.666,5.26,19.9,1.34,10,206.0,18.8,35.34,9.2
61.3665,74.8,19.67,0,0.589,5.47,95.4,1.02,1,439.0,14.0,29.78,47.2
81.3724,20.4,14.65,1,0.692,4.03,73.4,8.52,4,428.0,18.8,11.53,13.3
17.8506,93.5,8.17,1,0.775,3.51,95.6,6.02,17,259.0,21.8,31.17,45.2
73.0861,52.7,22.43,0,0.742,6.55,29.2,2.13,17,393.0,20.3,14.33,48.7
84.485,9.2,14.54,0,0.397,5.1,59.6,10.42,5,570.0,13.6,13.04,44.5
33.255,39.7,2.13,0,0.738,3.59,73.8,3.23,23,378.0,17.2,33.03,35.5
10.1213,60.2,25.76,1,0.733,8.06,71.7,4.59,3,347.0,16.2,33.4,38.5
73.1512,35.3,21.61,0,0.429,6.6,4.1,2.95,7,602.0,21.9,16.16,36.5
62.3993,69.9,16.58,0,0.454,4.41,99.8,11.19,5,714.0,21.6,2.02,25.7
18.9361,88.2,12.51,0,0.766,8.09,92.9,9.34,10,601.0,13.3,8.47,17.3
39.6282,77.2,26.9,1,0.654,4.84,13.7,8.96,24,637.0,21.1,34.71,17.8
51.4438,64.3,21.81,1,0.783,4.71,55.3,1.48,7,687.0,13.9,34.32,37.9
15.122,51.2,15.21,0,0.471,8.24,32.8,6.75,17,613.0,15.2,18.16,33.2
63.629,25.4,18.46,1,0.395,4.45,88.1,7.33,17,709.0,15.5,12.74,31.3
61.4014,45.5,8.22,1,0.459,8.16,70.4,5.21,7,584.0,14.9,12.69,34.4
78.9549,29.3,5.88,0,0.602,7.76,23.9,4.54,6,537.0,20.5,34.27,39.9
50.4899,93.4,8.02,1,0.636,5.14,5.3,10.37,9,554.0,15.3,13.49,38.7
51.1164,90.7,8.56,1,0.8,3.68,30.6,1.25,8,666.0,20.2,20.27,9.7
55.1278,15.6,20.84,0,0.731,3.94,5.7,7.88,14,549.0,21.9,28.24,21.3
24.3711,82.3,4.35,1,0.865,4.08,15.8,5.34,22,591.0,20.4,9.3,16.9
67.5174,70.3,21.88,1,0.419,8.22,64.3,8.33,6,297.0,15.5,10.91,29.2
58.9645,97.5,14.89,1,0.444,5.64,75.0,3.18,9,673.0,19.1,14.7,7.8
74.6849,46.3,11.08,1,0.421,3.67,47.9,3.63,20,421.0,17.3,25.45,39.3
68.4055,72.2,8.76,1,0.644,6.45,60.8,7.46,11,267.0,19.9,31.37,9.8
56.8351,51.8,14.61,0,0.511,4.6,17.3,11.78,11,612.0,13.5,21.55,17.2
14.3244,6.9,9.23,0,0.715,4.75,33.0,11.72,8,372.0,18.4,6.53,40.2
81.8046,4.7,12.31,1,0.445,4.35,71.9,3.74,3,279.0,19.7,17.9,7.3
32.6857,12.2,20.82,0,0.431,7.54,37.8,2.13,11,318.0,19.6,6.34,34.7
85.8228,29.6,17.71,0,0.605,3.5,36.2,7.49,4,199.0,21.6,4.91,46.6
35.7701,25.9,21.07,0,0.564,5.83,21.0,5.62,23,229.0,12.6,23.1,32.8
12.9936,72.8,20.11,0,0.786,3.96,60.3,9.38,3,500.0,15.5,36.41,37.1
78.7514,71.6,22.91,1,0.79,6.43,81.3,6.81,13,648.0,16.8,32.11,40.7
70.7615,97.1,6.05,1,0.438,5.33,48.0,6.62,19,422.0,15.1,29.81,15.0
69.9816,31.0,27.87,1,0.778,3.65,13.3,8.11,8,518.0,15.1,28.09,31.1
7.963,93.8,13.58,0,0.656,5.94,84.2,2.39,21,617.0,13.8,34.27,18.9
78.2566,61.3,20.25,1,0.627,6.52,9.0,8.45,21,373.0,20.1,29.03,16.2
53.0821,49.5,19.14,0,0.426,4.81,48.2,6.37,24,533.0,21.1,24.46,13.7
41.8648,66.8,16.07,1,0.742,7.56,27.6,10.02,22,369.0,12.8,14.94,31.3
81.2728,70.3,27.88,1,0.409,5.47,93.8,2.53,21,527.0,13.5,5.36,40.8
59.2797,17.2,6.48,0,0.516,7.47,74.3,4.31,1,298.0,14.3,18.44,44.4
11.8449,75.2,12.1,1,0.427,6.57,57.5,11.45,21,708.0,17.1,35.27,24.3
46.2417,72.5,4.01,0,0.64,8.11,67.4,7.08,8,221.0,19.9,22.87,21.8
56.6611,99.8,5.5,1,0.696,6.4,54.2,11.22,9,453.0,12.7,8.4,35.9
79.9716,91.2,20.11,0,0.817,4.48,16.5,8.58,6,335.0,18.4,25.26,40.1
24.9149,68.5,0.63,0,0.74,7.86,71.5,11.19,11,504.0,13.5,18.6,16.4
70.6881,71.2,24.97,0,0.851,7.65,50.3,4.5,10,411.0,21.7,35.51,18.4
71.1845,94.6,17.91,1,0.753,8.65,64.2,2.0,3,346.0,21.0,7.54,29.0
11.4016,96.7,12.62,1,0.526,4.0,6.4,9.82,8,315.0,21.5,27.55,25.0
1.5396,82.7,9.61,0,0.648,6.63,15.9,9.85,5,279.0,13.1,26.44,36.8
51.748,76.7,3.97,0,0.604,6.11,59.8,7.81,2,603.0,16.9,37.4,27.7
70.2649,11.1,25.84,0,0.657,7.06,47.0,7.38,16,300.0,13.7,22.21,10.0
49.347,83.0,20.09,1,0.66,8.69,24.2,11.06,1,598.0,18.0,33.34,12.5
72.389,25.3,9.75,0,0.724,6.32,25.6,2.94,24,442.0,14.3,2.6,45.6
55.3872,56.4,2.45,1,0.421,7.13,63.9,7.78,2,219.0,19.7,6.16,15.2
58.1451,40.5,9.46,1,0.746,5.34,7.8,1.55,3,269.0,18.4,14.26,7.3
2.5116,34.6,5.58,1,0.45,5.08,44.6,2.55,9,662.0,17.7,24.18,37.9
7.8907,31.0,22.12,0,0.393,5.28,53.3,5.81,17,506.0,20.3,18.0,35.8
64.5293,85.5,20.29,1,0.634,3.7,32.2,10.03,24,280.0,17.0,9.06,32.0
67.8945,76.9,14.2,0,0.665,5.01,82.4,9.06,12,560.0,14.7,23.09,27.6
48.2566,52.3,24.86,0,0.397,4.42,7.6,11.71,2,625.0,18.2,22.27,48.6
52.5272,66.4,5.47,1,0.633,5.92,86.8,1.49,24,359.0,21.6,20.74,10.4
54.6809,98.5,12.93,1,0.642,5.94,72.9,5.19,2,481.0,18.0,4.99,28.0
9.3496,39.8,20.04,0,0.406,7.56,45.7,2.75,23,338.0,18.3,35.35,30.4
59.4459,55.1,2.36,1,0.729,6.16,92.6,1.41,19,223.0,21.3,23.2,6.0
42.587,53.4,10.75,1,0.483,5.95,70.8,3.91,20,396.0,17.2,11.28,23.5
53.6269,93.6,16.22,1,0.769,4.73,93.2,3.69,17,586.0,22.0,26.65,40.2
50.1222,35.2,10.59,1,0.532,8.02,48.3,5.62,17,428.0,13.6,13.24,26.2
67.9084,98.6,13.71,0,0.614,3.98,46.4,2.54,13,399.0,17.4,20.06,44.4
28.3567,30.5,17.22,1,0.817,8.71,54.0,6.37,12,378.0,14.1,14.08,34.0
33.2476,10.9,10.63,1,0.775,6.02,8.4,11.12,11,428.0,16.5,33.66,39.5
34.8566,19.1,3.42,1,0.763,4.49,91.0,9.23,11,352.0,13.7,37.78,41.2
67.86,42.6,4.33,1,0.459,5.38,67.4,10.26,24,511.0,14.2,7.55,36.0
38.3724,65.0,14.99,1,0.404,3.58,62.5,9.85,8,214.0,14.1,2.56,38.7
15.7646,51.7,5.31,1,0.677,4.38,92.8,5.29,18,616.0,15.2,9.66,36.3
87.4907,37.6,24.97,1,0.581,5.28,99.4,8.8,4,274.0,13.3,23.12,29.8
43.914,56.2,23.44,1,0.825,6.44,18.0,9.3,18,522.0,20.1,8.01,30.5
9.7284,83.9,10.1,1,0.551,4.19,75.4,3.26,15,423.0,14.2,31.16,13.5
59.6564,83.9,23.35,0,0.581,7.08,58.8,10.46,24,598.0,16.2,16.53,42.2
65.787,72.6,15.16,0,0.638,7.97,47.2,6.04,7,626.0,12.2,23.86,19.0
44.5228,95.2,4.87,1,0.77,6.53,97.8,1.18,23,290.0,13.0,18.24,29.1
57.5368,59.0,17.39,1,0.511,5.07,85.3,8.08,15,546.0,21.0,34.49,16.2
15.373,0.8,19.18,0,0.841,4.14,70.3,8.44,19,283.0,20.4,2.98,36.3
32.7489,29.1,2.81,0,0.645,3.58,39.5,7.07,21,247.0,20.4,28.17,48.9
14.4078,32.8,9.15,1,0.792,7.38,67.3,3.34,17,682.0,16.1,25.37,41.1
34.4676,54.7,0.65,0,0.638,6.83,54.1,6.31,10,269.0,13.4,25.28,32.9
50.0919,90.5,9.2,0,0.758,6.02,26.4,5.4,11,303.0,13.1,16.73,30.5
39.3894,83.8,9.72,0,0.405,4.04,46.1,11.72,14,250.0,18.1,2.27,27.0
52.7986,23.2,17.83,0,0.772,4.6,22.8,10.07,4,434.0,20.3,26.72,14.2
44.6596,51.9,5.97,0,0.637,7.82,51.0,9.38,4,677.0,21.0,31.81,20.7
28.2896,65.9,1.33,0,0.6,6.04,72.6,2.99,1,323.0,14.9,4.79,23.3
12.7692,98.8,9.18,0,0.435,8.6,5.6,4.64,12,473.0,15.2,17.73,47.5
22.4924,3.1,23.2,0,0.743,8.8,77.0,5.18,7,402.0,13.0,7.6,24.2
17.8683,46.4,11.48,1,0.444,7.74,4.0,6.42,5,361.0,19.7,23.88,31.4
62.9623,98.8,11.92,0,0.474,4.87,52.7,1.33,1,489.0,14.8,30.22,46.5
72.9781,97.7,13.4,1,0.442,4.72,58.2,7.52,21,482.0,16.8,25.9,28.3
64.1163,33.1,21.17,0,0.383,4.84,76.6,4.94,24,374.0,21.3,13.25,16.3
57.2945,0.0,13.7,1,0.704,8.73,76.6,7.18,8,639.0,19.5,6.77,22.1
27.4029,58.7,3.01,1,0.513,5.28,42.9,1.1,18,209.0,12.5,30.53,21.9
63.2794,86.7,6.18,1,0.453,7.24,8.5,4.54,13,226.0,12.1,13.46,37.2
53.8548,32.4,5.67,1,0.537,8.58,70.0,9.46,17,715.0,19.9,2.5,18.3
4.1792,93.4,14.47,0,0.625,7.84,52.1,6.51,2,584.0,17.5,22.44,37.9
80.778,33.3,1.32,1,0.627,6.67,34.6,9.68,6,614.0,19.2,10.65,45.0
7.1214,61.0,8.3,0,0.56,4.4,25.0,8.69,21,505.0,13.6,32.24,20.1
44.744,72.2,17.2,1,0.623,4.43,13.7,10.4,4,407.0,20.7,6.9,11.1
45.6661,34.5,10.25,0,0.589,6.11,30.9,1.08,8,520.0,19.7,17.48,33.7
74.4946,35.2,19.96,1,0.783,8.55,46.9,3.87,15,230.0,20.9,10.89,21.2
81.2635,47.0,11.26,0,0.395,8.29,48.8,7.04,5,589.0,15.4,26.73,29.0
83.6315,83.5,27.43,0,0.805,4.38,59.1,11.35,20,472.0,14.8,21.61,33.5
50.7034,10.1,27.05,1,0.5,5.02,37.5,8.48,11,697.0,13.5,30.41,23.3
60.4367,63.1,22.5,0,0.734,6.62,92.1,6.02,8,524.0,21.3,18.35,46.6
7.8837,67.7,26.75,0,0.578,6.03,50.6,2.43,17,262.0,13.8,1.87,23.0
43.4276,55.8,6.13,1,0.524,4.13,43.5,6.43,9,438.0,13.2,9.51,18.8
79.9099,93.6,21.15,0,0.682,5.46,6.7,5.85,18,211.0,13.9,37.97,44.9
40.5603,60.2,9.35,1,0.757,8.56,60.7,9.56,14,583.0,19.7,16.41,11.1
