text,action,comedy,drama,horror,sci-fi
emotional dark love love adventure adventure dark emotional emotional,0,1,0,0,0
funny emotional scary love funny scary love exciting emotional,0,0,0,0,1
adventure love funny exciting exciting exciting love funny futuristic scary adventure adventure scary adventure,0,0,1,0,0
adventure futuristic futuristic exciting emotional funny dark love emotional love love futuristic exciting,0,0,1,1,1
funny scary adventure futuristic funny funny emotional scary emotional emotional emotional emotional,0,1,0,1,0
emotional dark love futuristic love adventure futuristic dark,1,0,1,1,0
funny exciting dark futuristic love exciting,0,1,0,1,1
emotional emotional dark exciting emotional dark dark emotional love,1,0,0,0,0
emotional funny scary futuristic funny adventure adventure funny funny adventure futuristic futuristic futuristic adventure,0,1,1,0,1
funny futuristic dark scary adventure futuristic love,0,0,0,1,1
exciting dark funny funny funny,0,0,1,1,0
love emotional adventure exciting exciting funny adventure exciting exciting emotional scary,1,1,1,1,0
funny dark scary scary emotional love exciting funny dark futuristic love scary,0,0,0,1,0
emotional scary dark scary scary emotional exciting dark,1,0,0,0,0
adventure scary scary funny emotional futuristic funny love futuristic exciting exciting scary dark adventure,1,1,1,0,0
emotional futuristic exciting exciting scary scary dark emotional,0,0,0,0,0
scary dark love dark adventure scary adventure love adventure emotional scary dark,0,0,1,0,0
dark adventure love dark scary scary futuristic exciting funny exciting,0,1,1,1,0
funny exciting emotional love futuristic emotional emotional exciting love,0,0,0,1,0
dark adventure scary scary futuristic emotional,1,0,0,0,0
dark exciting love love emotional scary exciting exciting dark,1,1,0,0,0
adventure futuristic love futuristic adventure love funny scary scary futuristic scary scary,0,0,0,0,1
adventure adventure emotional emotional funny dark emotional adventure dark scary adventure exciting adventure,1,0,0,0,0
dark scary adventure scary futuristic love adventure,0,1,0,0,0
emotional futuristic scary scary futuristic love exciting futuristic exciting,1,0,1,0,0
scary adventure dark scary futuristic funny exciting funny scary,0,0,1,1,1
dark adventure dark dark dark,0,0,1,1,0
futuristic exciting exciting love emotional adventure exciting adventure scary adventure funny,1,1,0,0,1
adventure futuristic emotional dark funny love funny exciting adventure scary adventure adventure scary futuristic,1,0,0,0,1
funny exciting scary emotional emotional emotional scary exciting,1,0,0,1,0
funny scary love love adventure dark emotional dark,0,1,1,1,0
exciting futuristic emotional emotional dark futuristic scary emotional exciting dark,1,1,0,0,0
scary emotional scary scary exciting scary adventure emotional,0,0,0,1,1
emotional adventure love adventure adventure futuristic funny futuristic dark exciting exciting dark,0,0,0,1,1
futuristic love love funny emotional love,0,1,1,1,1
scary emotional love dark emotional funny exciting scary scary love exciting,0,1,1,1,0
funny exciting futuristic funny love exciting futuristic emotional scary exciting love funny scary futuristic,1,1,1,1,0
love adventure exciting emotional futuristic love futuristic futuristic,0,0,0,1,1
emotional love exciting exciting scary adventure love exciting,0,1,0,1,1
emotional scary scary futuristic exciting,0,0,1,1,1
adventure emotional emotional dark love adventure,1,0,1,1,1
funny futuristic funny adventure love adventure funny futuristic funny love,1,0,1,1,0
adventure dark exciting futuristic adventure scary love scary funny scary,1,1,0,0,0
exciting futuristic emotional dark funny adventure exciting funny emotional,0,1,0,0,1
funny adventure adventure funny adventure futuristic,1,1,1,1,0
futuristic love love emotional dark dark love exciting funny funny funny scary emotional,1,1,1,0,1
adventure emotional love scary scary dark dark emotional scary,0,0,0,0,1
exciting dark funny futuristic dark scary futuristic funny adventure emotional,0,0,1,1,0
adventure funny dark futuristic exciting emotional scary exciting dark funny futuristic futuristic,1,1,1,0,0
funny emotional scary exciting funny futuristic scary dark futuristic,1,0,1,1,0
futuristic funny love futuristic funny futuristic scary scary futuristic futuristic funny funny dark funny,0,1,1,0,1
emotional futuristic adventure dark dark futuristic futuristic futuristic funny love love love,1,0,0,0,1
funny emotional love funny adventure futuristic futuristic love dark exciting funny exciting,0,0,0,0,0
love futuristic exciting love exciting scary love scary funny dark funny love funny funny,0,1,0,1,0
funny dark adventure funny exciting exciting,0,0,1,0,0
adventure futuristic dark love love,0,0,1,1,1
futuristic funny emotional dark exciting exciting scary,1,0,0,0,1
funny dark scary futuristic scary adventure,0,1,1,0,0
adventure adventure adventure exciting scary dark,0,0,0,1,0
futuristic exciting futuristic exciting funny,1,0,1,0,1
adventure love futuristic futuristic scary exciting futuristic futuristic exciting exciting emotional,1,0,1,1,0
exciting futuristic emotional emotional dark futuristic scary funny love,1,1,1,1,1
exciting love adventure scary scary love love futuristic scary exciting,0,0,0,1,0
adventure futuristic dark emotional love exciting futuristic love futuristic love dark,0,1,0,1,1
exciting dark scary exciting dark love,0,1,1,0,1
funny love scary dark adventure funny dark funny funny dark love exciting dark,1,0,1,1,0
emotional dark scary adventure scary adventure,1,0,0,1,0
adventure exciting adventure love dark futuristic,0,0,0,1,1
dark exciting funny funny dark emotional futuristic futuristic scary,0,0,0,0,0
exciting funny funny emotional adventure adventure,0,0,1,0,0
emotional emotional dark dark dark emotional adventure emotional funny dark dark adventure adventure,1,0,0,1,0
emotional dark emotional scary futuristic love exciting dark emotional love emotional funny emotional emotional,1,1,1,0,1
love funny love futuristic emotional emotional futuristic scary love dark futuristic futuristic dark,0,0,0,0,1
adventure futuristic funny adventure futuristic love emotional emotional adventure scary adventure love futuristic exciting,1,0,1,1,1
dark love exciting love love adventure futuristic funny emotional love,1,1,0,1,0
exciting futuristic emotional love scary,1,0,0,0,1
emotional emotional dark dark love,1,0,0,0,0
funny adventure funny futuristic love adventure adventure futuristic emotional love exciting funny emotional,0,1,0,0,0
funny exciting funny scary love futuristic adventure funny exciting love exciting,0,1,0,0,1
exciting scary emotional funny dark dark exciting futuristic,1,0,0,1,1
love scary funny dark funny exciting,1,1,0,0,1
scary love love futuristic emotional funny emotional adventure funny,0,1,1,0,0
futuristic funny scary emotional funny dark,1,1,1,0,0
futuristic exciting emotional futuristic love scary futuristic exciting dark,1,1,1,1,1
funny emotional funny love funny futuristic adventure,0,0,0,0,0
scary adventure futuristic exciting funny adventure scary dark,1,1,1,1,1
exciting futuristic exciting love love scary dark,0,0,1,1,1
love love futuristic scary funny love love love exciting adventure funny,1,0,1,1,1
exciting emotional dark scary adventure dark dark emotional exciting love futuristic emotional scary emotional,1,1,0,0,0
funny futuristic exciting futuristic funny love dark futuristic love love,1,0,0,0,1
adventure dark emotional exciting funny love funny emotional funny exciting scary futuristic adventure adventure,1,1,0,1,1
futuristic adventure futuristic adventure scary dark,1,1,0,0,1
love exciting funny futuristic emotional scary,1,1,0,1,1
exciting futuristic exciting futuristic dark,1,1,1,1,0
exciting dark adventure adventure futuristic scary exciting funny dark emotional dark adventure dark,1,0,1,0,0
dark futuristic exciting adventure scary adventure dark funny dark futuristic funny,0,0,0,1,0
emotional scary futuristic futuristic exciting funny futuristic funny emotional exciting,0,1,1,1,0
dark emotional dark exciting exciting funny love love adventure exciting emotional adventure,0,1,1,0,0
love adventure emotional dark funny funny scary,0,0,1,1,0
dark love futuristic scary dark scary exciting love exciting scary futuristic,1,0,1,0,0
funny emotional scary exciting futuristic exciting love funny,0,1,0,0,1
