text,intensity
good terrible horrible amazing great great terrible fine horrible amazing good great amazing,0.987
amazing fine bad horrible bad horrible ok fine great fine,-0.249
terrible amazing terrible great horrible amazing great fine amazing fine ok good,0.716
amazing horrible terrible amazing fine amazing bad great fine,0.741
terrible great ok amazing bad amazing amazing amazing fine,0.425
amazing good horrible fine bad terrible great horrible amazing horrible fine,-0.762
bad good ok bad good good fine good terrible,0.506
fine terrible good great amazing bad horrible good ok amazing,-0.152
bad amazing amazing fine ok,0.496
terrible great fine horrible terrible horrible bad bad amazing horrible horrible great ok terrible,-0.389
ok fine amazing horrible amazing terrible amazing terrible bad great bad fine,0.873
amazing terrible terrible terrible great ok great fine great,-0.884
great amazing great terrible great amazing,0.931
fine ok good bad great amazing,-0.322
terrible fine ok bad good amazing amazing bad bad good ok terrible terrible,-0.606
ok horrible terrible ok bad horrible bad horrible good great fine,0.194
fine terrible horrible great terrible fine amazing,0.05
terrible fine amazing amazing bad bad great amazing,0.724
horrible great great fine great good amazing bad,0.604
terrible horrible fine ok fine terrible ok bad amazing amazing fine,0.161
bad fine horrible great bad terrible great ok terrible fine terrible fine fine fine,-0.071
amazing amazing horrible amazing fine horrible good fine fine,0.997
amazing great good fine ok ok,-0.56
horrible good horrible fine ok good good horrible ok fine amazing,0.626
good horrible amazing horrible great bad horrible,-0.338
ok horrible bad amazing good good great ok,-0.001
horrible ok horrible great horrible amazing horrible great great good,-0.899
amazing bad fine good amazing ok fine bad bad ok good bad,-0.624
bad ok terrible good great amazing ok ok bad good fine good great,-0.439
great terrible terrible ok terrible fine good,-0.654
bad terrible ok fine bad horrible great bad terrible,-0.786
good good amazing fine horrible horrible bad good amazing fine good good ok amazing,0.461
good ok horrible ok bad amazing ok great terrible ok good great horrible,0.298
bad fine ok amazing ok great terrible ok great amazing,0.171
good horrible great ok horrible bad terrible good ok good,-0.246
ok great terrible terrible ok terrible bad great great horrible,-0.946
terrible bad terrible amazing good bad ok,-0.489
good ok terrible terrible terrible great great horrible great,-0.151
amazing horrible ok terrible amazing good bad good great,0.155
terrible ok great bad bad bad,0.027
great terrible bad horrible great fine,-0.311
fine bad ok amazing terrible good ok ok amazing horrible ok great good,-0.769
great good terrible great terrible ok good bad ok ok,-0.718
terrible ok fine terrible good fine terrible terrible horrible ok terrible bad ok horrible,0.484
horrible bad fine terrible ok,-0.401
good ok bad good horrible fine ok good good amazing,0.6
ok amazing terrible amazing bad amazing amazing bad great,0.43
horrible fine great bad great terrible bad amazing fine good terrible ok fine horrible,-0.599
ok ok great ok bad good horrible good great amazing terrible amazing ok terrible,0.755
horrible amazing fine good terrible ok good great bad,-0.787
great bad ok good amazing bad bad ok fine bad amazing terrible,-0.029
good amazing ok great ok great great horrible,0.273
fine horrible bad amazing amazing ok terrible great bad,0.581
terrible terrible great terrible horrible good terrible good bad ok,-0.839
ok horrible fine amazing good,0.318
ok ok terrible horrible terrible amazing horrible bad terrible good,0.506
good great fine terrible ok horrible amazing ok fine,0.661
great horrible bad horrible bad great horrible ok terrible amazing terrible ok,-0.777
bad horrible terrible amazing bad fine great,0.259
amazing fine bad ok ok ok amazing,-0.408
good good ok great good terrible horrible,0.537
ok ok great bad fine good bad bad horrible terrible bad ok horrible fine,-0.94
ok horrible bad fine bad terrible fine amazing bad great ok,0.817
bad bad good great amazing ok fine,-0.596
ok horrible terrible good fine great bad terrible terrible ok good fine great,0.035
bad great amazing fine bad amazing,0.273
bad ok good amazing great great,0.556
bad terrible good horrible great terrible,-0.162
horrible ok fine fine amazing ok,-0.2
ok fine fine terrible bad horrible great good terrible good amazing,0.751
amazing ok horrible good horrible amazing great ok good amazing horrible ok terrible horrible,0.998
ok good good amazing terrible good bad good,0.779
amazing good amazing good good amazing good great good amazing,-0.545
horrible bad amazing great amazing great terrible bad amazing terrible terrible bad,-0.02
fine good horrible terrible bad,-0.711
great fine fine horrible fine bad terrible terrible bad horrible terrible,0.501
bad good good ok ok bad terrible bad ok ok,0.247
horrible fine great horrible terrible great ok great good amazing good horrible,-0.282
amazing ok good ok ok,0.702
terrible fine horrible good great ok terrible amazing good bad ok amazing,-0.617
horrible terrible amazing good bad terrible,-0.182
amazing good terrible fine great amazing terrible ok horrible horrible terrible great horrible horrible,-0.566
amazing bad good horrible terrible amazing horrible ok ok amazing great,0.681
fine terrible fine great horrible amazing ok fine fine,0.646
amazing fine ok terrible horrible bad fine good good fine amazing ok great,-0.213
terrible great ok ok ok good good ok horrible,-0.812
amazing terrible horrible terrible good good,0.412
ok good fine horrible ok terrible,0.54
great ok great terrible good fine horrible fine ok horrible good ok amazing,0.984
amazing terrible fine fine great great amazing terrible amazing fine ok terrible,-0.669
