pH,hardness,solids,chloramines,sulfate,conductivity,organic_carbon,turbidity,potability
7.43,106.8,36304.0,3.94,345.2,649.8,24.22,6.58,1
7.88,157.8,58267.0,1.65,428.8,544.6,17.23,3.82,0
7.47,112.4,57122.0,5.02,311.5,288.5,9.84,6.16,0
6.71,297.9,26248.0,5.55,384.9,518.6,16.06,6.17,1
11.44,141.3,4331.0,7.52,283.2,427.8,18.25,1.35,0
12.02,171.2,54187.0,11.22,474.4,312.3,25.13,5.69,1
6.69,113.4,7877.0,6.19,325.8,635.5,8.11,5.4,0
8.31,72.9,55436.0,4.29,393.7,265.2,16.54,1.26,0
7.64,188.4,44038.0,11.39,162.5,539.3,25.93,6.64,1
9.53,284.6,56074.0,9.62,292.0,528.1,3.18,4.81,1
4.65,145.0,40024.0,4.2,152.6,353.1,7.06,2.01,1
11.86,260.9,59708.0,2.42,172.6,424.7,11.0,1.74,0
11.77,58.8,28180.0,4.0,307.1,246.4,19.64,4.37,0
9.49,113.6,19978.0,1.87,253.3,194.6,23.89,1.35,1
11.21,85.5,23781.0,11.77,290.9,187.4,7.18,1.99,0
13.87,158.8,21212.0,8.07,303.7,279.4,8.41,6.69,1
13.15,291.5,24228.0,11.27,185.9,674.2,23.41,5.47,1
9.73,150.8,53147.0,10.72,258.0,477.9,5.86,4.68,0
8.63,212.9,35646.0,2.25,431.2,246.8,8.79,2.25,1
8.88,292.5,43624.0,5.93,429.8,696.1,21.05,2.31,1
8.13,147.1,17486.0,12.65,301.7,504.3,6.32,3.67,0
8.28,148.8,59395.0,3.27,392.2,195.9,23.53,5.52,0
11.05,73.8,17060.0,0.94,393.7,614.8,14.75,1.02,1
13.91,144.2,9794.0,4.69,145.4,449.9,13.64,1.27,1
3.5,251.5,46758.0,6.79,343.8,483.7,5.52,6.22,1
5.53,278.0,50393.0,1.01,411.6,529.5,19.67,5.88,0
5.31,245.1,23810.0,5.72,337.9,233.8,24.98,5.17,1
12.16,51.9,32602.0,3.52,319.5,720.2,19.99,4.0,1
7.62,81.6,25023.0,2.99,315.9,325.6,10.24,1.87,1
8.78,247.4,17847.0,3.65,307.8,534.4,20.17,1.61,0
8.16,304.4,48859.0,1.64,402.4,667.7,15.26,6.43,0
12.39,237.7,45495.0,1.27,354.9,369.2,24.2,3.3,1
8.5,111.0,29274.0,7.87,205.4,537.7,13.95,5.17,1
10.35,79.0,27496.0,12.34,281.7,743.7,8.17,3.74,1
3.21,286.8,11056.0,10.52,315.0,665.5,4.63,5.39,1
10.18,76.7,38345.0,10.89,276.6,624.2,9.31,2.16,1
5.65,90.8,55444.0,9.64,213.2,430.4,16.65,3.91,0
12.54,211.1,43215.0,12.44,173.7,437.2,6.42,3.26,1
11.27,101.3,30524.0,12.37,171.1,456.8,3.03,2.47,0
4.2,111.5,2608.0,10.18,233.7,573.5,13.67,4.59,1
4.14,88.4,55838.0,9.39,270.9,262.3,11.03,4.22,0
6.22,305.0,18690.0,4.18,369.0,670.8,12.93,3.97,1
4.38,83.7,18207.0,1.46,474.7,190.3,13.81,4.55,1
11.14,301.5,28335.0,1.48,444.1,276.9,21.92,1.86,0
13.85,138.1,25921.0,9.65,414.8,454.6,26.98,3.22,0
10.21,271.8,57752.0,0.66,414.8,323.7,8.82,2.95,1
5.74,306.5,10151.0,10.67,338.6,388.4,26.5,5.62,0
9.21,190.2,41441.0,4.95,218.5,369.6,7.94,1.21,1
11.86,257.9,6674.0,2.74,295.2,333.3,21.63,2.69,0
13.58,121.8,16831.0,5.48,179.9,396.8,19.71,6.51,1
3.06,153.4,43412.0,9.23,328.3,468.0,3.36,2.8,1
8.76,199.3,48301.0,3.79,138.1,451.5,20.85,1.91,0
7.99,279.6,28295.0,2.5,196.3,642.8,25.43,5.54,0
7.56,217.6,47424.0,9.67,379.3,355.6,26.19,1.29,1
8.54,56.0,56127.0,11.48,226.9,340.7,19.82,3.56,1
7.44,132.3,56167.0,7.74,277.0,467.5,22.45,6.13,1
6.78,283.5,20746.0,6.95,421.2,207.3,3.86,6.72,0
4.26,114.9,18935.0,9.89,145.6,243.7,6.19,2.49,1
8.5,149.3,43669.0,9.6,138.0,637.8,8.82,2.78,0
12.03,155.2,39349.0,0.38,210.1,461.4,15.81,4.4,0
4.15,91.7,23718.0,3.88,369.6,217.9,12.04,2.36,1
11.12,144.4,13952.0,12.14,212.6,431.0,19.09,1.9,0
5.95,270.7,37220.0,12.49,432.3,407.0,13.59,3.56,1
7.19,279.3,25985.0,6.78,253.1,320.3,22.15,1.43,1
13.87,206.8,8187.0,7.41,229.2,392.1,20.55,6.37,0
10.43,233.3,38463.0,0.31,211.5,287.4,21.43,3.01,1
10.91,194.3,41951.0,8.84,330.9,436.0,23.55,3.02,0
9.63,62.0,22045.0,3.0,429.7,412.9,23.69,5.75,1
6.55,238.1,49968.0,1.92,272.1,526.3,22.27,3.05,0
10.43,319.1,4698.0,4.17,218.4,717.0,3.71,5.57,0
8.03,111.5,29906.0,8.74,277.3,285.7,18.2,2.09,1
12.15,315.2,57393.0,5.84,446.7,417.9,2.51,4.17,0
9.28,319.4,11671.0,4.73,247.1,500.5,21.34,5.61,0
11.48,88.2,10588.0,9.53,359.5,491.8,3.59,3.7,1
12.33,300.1,22908.0,10.63,245.4,557.0,27.56,1.43,0
12.03,232.4,16305.0,11.34,366.2,332.7,17.97,5.42,0
7.42,175.9,13526.0,5.95,438.4,541.7,6.73,3.96,1
7.06,143.1,57006.0,9.42,339.5,294.7,14.18,2.9,0
12.56,220.0,20887.0,11.54,461.6,251.5,23.49,6.96,0
4.57,277.6,3872.0,11.84,340.5,654.0,6.68,6.26,0
6.07,59.2,54017.0,6.55,471.2,450.0,15.96,1.23,0
4.33,194.6,27060.0,4.81,383.3,406.4,2.09,4.56,0
3.46,225.6,44236.0,11.73,358.5,709.3,22.5,3.13,0
9.77,56.9,22231.0,3.62,420.4,584.6,7.06,1.22,0
12.91,290.1,56130.0,10.42,133.9,566.0,12.07,1.07,0
4.42,307.0,17482.0,11.84,220.0,290.7,15.79,4.5,0
11.75,215.4,39867.0,9.69,205.6,299.3,5.77,2.92,0
7.17,81.6,49513.0,8.93,168.8,455.4,26.09,5.22,0
9.8,301.8,14505.0,0.94,458.2,551.8,14.19,3.73,0
11.4,267.4,48150.0,2.88,175.9,405.3,8.03,5.6,1
10.81,57.7,47599.0,8.77,222.0,216.6,21.11,5.88,0
4.5,206.4,57864.0,10.27,247.3,569.3,25.25,4.94,1
4.27,80.9,55392.0,1.11,348.6,621.0,25.73,3.51,0
13.17,88.1,23500.0,0.54,398.6,718.3,13.21,6.93,0
3.87,102.0,35555.0,4.26,341.6,413.0,11.35,2.84,0
5.4,157.0,55540.0,8.49,392.1,327.1,26.16,4.09,1
7.82,286.6,561.0,6.8,270.7,707.7,3.37,4.12,1
12.03,58.4,37753.0,0.41,478.5,587.6,21.51,3.57,0
9.63,236.1,13157.0,2.23,189.5,216.5,6.62,1.73,0
9.28,310.4,44404.0,9.85,269.9,510.6,14.1,3.12,1
10.61,223.1,47849.0,4.08,421.3,196.3,26.8,2.29,1
11.82,270.2,42864.0,1.79,216.4,309.1,17.11,6.4,1
5.56,293.5,59766.0,0.95,392.8,220.4,15.61,4.93,0
3.21,243.0,28912.0,11.1,257.5,296.8,3.61,2.73,1
4.4,228.2,33812.0,6.29,192.2,459.3,9.21,4.39,0
4.82,54.9,24717.0,6.7,271.2,350.4,2.08,6.12,0
3.44,190.1,58447.0,1.08,404.7,230.2,24.75,6.61,1
11.22,176.7,55389.0,6.5,169.2,454.8,18.77,1.45,0
12.73,191.1,59202.0,8.5,310.6,583.8,5.07,5.72,1
10.82,166.8,59098.0,1.86,389.5,210.3,11.45,6.8,1
5.07,294.8,53759.0,11.76,393.1,683.0,23.1,3.8,0
9.67,290.0,55873.0,10.25,266.4,552.2,5.65,6.97,0
8.73,83.9,7457.0,10.48,293.3,476.1,7.99,6.74,0
12.02,193.9,10660.0,7.11,429.9,405.9,16.08,4.94,0
13.37,309.1,53146.0,4.54,202.9,404.2,5.77,6.09,1
11.17,211.6,43690.0,8.43,477.4,371.3,11.95,2.78,0
8.64,266.5,52537.0,3.16,276.7,246.0,27.54,6.5,1
8.62,150.8,46271.0,2.04,226.4,225.2,16.14,4.55,1
11.89,151.9,8633.0,7.14,130.9,356.0,20.24,4.06,1
4.35,137.9,55019.0,6.38,173.8,560.2,19.25,6.01,0
4.69,55.9,46342.0,2.21,394.8,344.4,7.5,6.34,0
6.78,299.7,34377.0,7.04,357.2,643.0,24.0,5.21,1
11.22,144.4,32082.0,7.24,216.3,396.8,5.17,1.15,0
3.73,149.1,34556.0,11.37,454.5,539.8,25.96,4.58,1
6.79,255.1,23608.0,9.94,422.5,426.2,7.62,5.93,0
6.5,192.3,48252.0,3.06,224.2,463.8,26.82,4.27,0
8.34,147.8,54568.0,10.69,245.5,322.6,22.75,6.61,1
8.1,288.6,15399.0,12.61,194.7,472.9,6.45,6.38,1
10.86,272.9,2571.0,9.4,354.9,243.1,6.17,4.18,1
9.88,313.7,12415.0,10.29,375.4,400.5,4.2,3.42,1
12.93,223.1,45513.0,3.68,268.6,435.5,8.43,1.33,0
4.99,236.3,52144.0,12.9,388.0,581.3,19.14,4.8,0
7.75,137.6,21109.0,2.54,477.0,408.1,15.53,2.6,1
7.4,76.9,9398.0,9.84,344.2,559.3,17.95,5.01,0
4.24,78.6,51554.0,5.32,357.2,279.5,2.81,5.79,1
4.81,224.4,13114.0,4.83,260.8,194.4,4.08,3.45,1
6.7,80.6,14740.0,3.92,133.7,468.4,19.99,1.09,0
11.08,294.8,5829.0,5.9,463.9,450.1,24.05,6.19,0
4.65,240.0,54646.0,10.34,400.3,561.8,11.34,4.29,1
5.92,111.1,19805.0,12.25,373.4,358.7,6.33,2.89,0
10.44,125.4,10559.0,5.59,140.4,197.0,10.02,4.8,1
9.56,241.7,57233.0,8.58,395.7,592.4,12.71,5.05,1
4.15,272.5,20331.0,10.31,364.5,717.1,18.38,1.88,0
13.38,276.6,44925.0,1.57,329.1,404.7,12.65,4.88,1
4.63,212.3,14055.0,12.5,348.3,528.3,25.32,2.72,1
3.68,91.9,43691.0,2.99,451.4,490.5,12.43,5.82,1
6.35,271.0,14160.0,11.92,132.3,502.6,6.72,6.65,0
3.29,263.7,38373.0,12.83,184.9,674.4,8.46,1.62,0
3.34,275.5,26620.0,1.58,443.2,599.7,14.09,6.5,1
9.37,92.6,47983.0,11.64,132.9,618.8,22.34,6.42,1
12.82,234.8,43897.0,8.44,446.3,231.3,24.6,3.06,1
7.43,309.3,56148.0,10.69,140.4,263.6,6.82,1.17,1
6.32,119.1,22784.0,1.69,402.8,558.1,2.09,4.98,1
13.06,243.5,45334.0,10.9,441.8,488.1,24.6,3.07,1
3.68,119.9,58140.0,8.25,344.4,621.3,7.93,2.15,1
8.21,132.9,20378.0,6.78,354.5,233.1,23.36,1.65,0
5.78,181.0,17613.0,7.41,147.7,502.9,16.32,2.18,0
7.2,291.6,46212.0,9.75,203.8,457.1,12.51,2.42,0
7.52,60.4,26898.0,4.08,444.8,667.2,5.82,5.77,0
9.0,317.2,24100.0,12.28,418.3,286.7,19.47,5.7,0
7.99,258.5,32873.0,4.21,150.8,378.8,23.27,3.97,0
13.87,147.1,56151.0,11.44,414.5,265.8,13.99,4.32,0
3.28,145.6,5306.0,0.45,278.2,437.5,13.61,6.51,0
11.33,180.4,28101.0,11.94,326.3,682.4,21.64,6.45,0
3.56,286.4,6875.0,11.12,167.9,562.1,15.0,5.97,1
7.74,54.8,53050.0,1.88,269.5,604.3,22.43,3.25,0
5.22,198.0,8461.0,9.66,282.2,233.2,3.41,3.2,0
13.4,65.1,5655.0,5.05,364.3,437.7,24.3,6.33,1
10.95,81.2,57836.0,6.39,360.1,658.0,8.81,6.56,1
