make,year,engine_size,horsepower,weight,mpg
Toyota,2016,3.5,206.0,1072.0,49.6
Tesla,2018,2.3,102.0,1658.0,30.6
BMW,2011,2.4,215.0,2191.0,45.2
Tesla,2016,3.3,485.0,1218.0,58.2
Tesla,2024,3.7,299.0,1217.0,20.1
BMW,2020,3.4,485.0,2343.0,59.2
Toyota,2017,2.9,215.0,1957.0,50.2
Tesla,2022,2.6,485.0,2529.0,58.7
Tesla,2020,3.9,478.0,1891.0,33.6
Tesla,2015,2.1,318.0,1352.0,45.8
Tesla,2013,3.0,402.0,1380.0,59.7
BMW,2020,2.3,307.0,2213.0,59.5
Honda,2010,3.2,203.0,1825.0,18.9
Toyota,2010,3.0,164.0,1084.0,27.3
BMW,2020,4.4,351.0,2774.0,36.4
BMW,2017,4.7,192.0,2172.0,35.8
Tesla,2019,3.9,477.0,2500.0,50.7
Honda,2018,2.0,271.0,1888.0,47.4
Tesla,2011,2.0,485.0,1929.0,15.8
Toyota,2012,2.7,438.0,1074.0,33.6
Toyota,2015,4.5,467.0,1777.0,33.0
Toyota,2017,4.4,395.0,1303.0,51.6
Honda,2011,2.9,132.0,1621.0,23.0
Tesla,2014,2.5,434.0,2769.0,37.1
Toyota,2019,3.0,316.0,1379.0,47.3
Honda,2022,3.7,478.0,2907.0,57.1
Toyota,2022,5.0,109.0,2640.0,51.6
Toyota,2022,4.4,383.0,1990.0,38.7
Toyota,2018,4.6,182.0,2937.0,54.0
Honda,2021,3.7,401.0,2374.0,47.8
Toyota,2019,4.4,342.0,1403.0,19.6
Tesla,2015,3.3,242.0,1136.0,16.2
Honda,2021,3.9,470.0,2521.0,40.2
Honda,2011,1.7,135.0,2658.0,45.7
Tesla,2016,4.2,289.0,1950.0,26.4
Honda,2011,3.0,159.0,1541.0,42.3
BMW,2015,1.5,333.0,1100.0,37.9
Honda,2019,3.2,330.0,2208.0,21.0
Honda,2018,3.3,499.0,1686.0,19.7
Tesla,2013,4.4,249.0,1888.0,35.0
BMW,2016,1.8,482.0,1646.0,22.8
Toyota,2012,4.0,481.0,1903.0,34.0
Toyota,2022,3.2,294.0,1640.0,52.7
Honda,2024,4.4,446.0,2682.0,16.0
Toyota,2020,2.9,152.0,2420.0,52.3
Toyota,2015,1.7,198.0,2365.0,39.7
Toyota,2018,4.4,443.0,2168.0,48.8
Toyota,2020,2.4,318.0,2591.0,57.3
Honda,2022,4.6,137.0,1395.0,21.6
BMW,2013,2.2,133.0,2570.0,49.6
Honda,2011,2.3,344.0,1049.0,16.0
BMW,2022,3.7,331.0,2076.0,16.3
Toyota,2015,4.5,479.0,2597.0,46.3
BMW,2023,4.8,205.0,2311.0,45.8
Toyota,2010,3.4,197.0,2147.0,29.0
BMW,2023,2.6,374.0,1070.0,37.4
Toyota,2024,3.3,106.0,1379.0,31.7
Toyota,2016,3.7,252.0,1449.0,16.2
BMW,2012,3.3,333.0,2505.0,58.8
Toyota,2013,4.9,438.0,2842.0,28.7
Honda,2015,4.0,479.0,1294.0,22.7
Toyota,2011,4.9,392.0,1100.0,54.6
Tesla,2014,1.9,272.0,2428.0,21.1
Tesla,2013,4.2,205.0,1652.0,56.7
Honda,2021,3.1,453.0,1626.0,36.5
BMW,2014,2.8,485.0,2325.0,35.8
Toyota,2017,2.7,113.0,2596.0,54.1
BMW,2011,3.4,115.0,1579.0,28.4
Toyota,2015,3.9,223.0,2972.0,25.2
Tesla,2010,2.8,312.0,2574.0,27.5
Toyota,2024,3.4,345.0,1145.0,26.4
Honda,2012,2.9,448.0,2374.0,47.2
Tesla,2017,3.6,208.0,2798.0,32.5
Toyota,2014,2.2,359.0,1102.0,35.8
Toyota,2013,2.2,103.0,2076.0,29.4
Honda,2013,4.2,247.0,2042.0,25.5
Toyota,2016,1.8,130.0,2475.0,21.0
BMW,2017,4.3,188.0,1863.0,24.3
Tesla,2013,2.4,281.0,1497.0,32.0
BMW,2022,2.9,245.0,1659.0,52.2
Tesla,2019,3.4,144.0,1067.0,49.5
BMW,2021,4.9,121.0,2814.0,23.9
BMW,2011,4.3,123.0,2963.0,59.6
BMW,2011,3.0,312.0,1904.0,52.0
Tesla,2013,3.7,296.0,2726.0,59.9
Tesla,2012,5.0,217.0,2789.0,45.1
BMW,2019,3.1,346.0,2137.0,29.1
Honda,2012,1.6,195.0,1588.0,30.8
Toyota,2023,1.7,396.0,2281.0,52.2
Toyota,2019,3.5,468.0,2527.0,48.8
BMW,2010,2.4,246.0,2548.0,58.6
Tesla,2014,2.6,397.0,2002.0,26.2
Honda,2016,4.6,285.0,2395.0,48.0
Honda,2024,3.3,273.0,2673.0,25.2
Toyota,2012,2.1,474.0,2606.0,27.8
Honda,2015,2.0,292.0,1449.0,21.2
Honda,2016,4.2,453.0,2080.0,39.2
Tesla,2011,2.8,148.0,1831.0,34.2
Tesla,2022,3.6,180.0,1373.0,39.8
Toyota,2016,4.0,468.0,1950.0,52.3
Toyota,2021,3.1,477.0,1308.0,15.7
Honda,2024,2.8,455.0,1499.0,51.5
Honda,2024,1.6,454.0,1523.0,46.9
Honda,2012,4.0,142.0,1974.0,45.0
