engine_size,cylinders,fuel_consumption_city,fuel_consumption_hwy,fuel_type,co2_emissions
5.6,10,28.6,9.6,Z,347.0
2.0,6,5.9,15.7,X,146.0
2.5,12,27.3,6.2,D,344.0
5.6,8,10.8,14.7,E,325.0
6.9,6,29.7,16.4,E,388.0
6.1,12,17.6,9.4,D,215.0
5.1,10,4.5,19.5,Z,433.0
6.5,4,11.3,14.2,X,478.0
2.7,4,28.4,5.5,D,453.0
1.1,4,11.8,19.5,X,257.0
2.9,8,13.3,15.9,Z,405.0
6.8,12,5.1,15.1,X,246.0
6.3,3,10.6,8.1,X,445.0
1.3,10,10.7,11.6,E,250.0
4.0,5,22.6,18.4,D,174.0
1.5,5,17.1,8.9,X,296.0
5.7,4,8.2,10.8,X,154.0
3.2,12,24.7,8.1,D,335.0
6.5,4,19.9,7.5,D,331.0
1.3,12,11.0,4.7,Z,296.0
5.4,4,9.8,15.8,D,341.0
3.4,8,28.0,5.5,X,490.0
2.6,5,20.6,12.5,E,253.0
4.1,6,25.0,4.8,Z,269.0
3.9,3,9.9,19.7,D,210.0
3.1,6,19.3,15.4,D,174.0
4.9,3,5.4,14.1,D,216.0
5.0,8,19.5,7.0,Z,185.0
1.5,3,9.3,12.4,Z,273.0
4.6,8,21.4,12.1,D,193.0
5.3,5,28.2,9.7,Z,307.0
1.5,12,15.9,6.5,E,215.0
5.0,12,11.9,9.9,X,270.0
5.8,3,7.2,13.7,E,152.0
6.0,4,21.4,11.8,X,166.0
1.2,4,19.2,13.1,Z,346.0
5.2,12,18.2,13.2,D,326.0
5.8,8,28.3,7.9,Z,168.0
3.4,5,29.4,5.8,E,218.0
4.3,8,22.6,12.3,E,189.0
2.6,6,9.1,18.3,Z,419.0
2.9,6,28.6,19.9,D,246.0
4.0,6,13.0,16.6,D,262.0
1.9,4,6.1,7.5,X,366.0
3.2,10,10.3,14.1,E,230.0
2.8,6,25.6,7.8,X,251.0
2.4,3,9.3,13.2,Z,419.0
3.9,6,14.3,11.7,X,418.0
6.0,4,11.1,10.1,D,342.0
2.5,3,5.2,14.3,E,324.0
5.0,5,18.6,17.7,D,172.0
2.5,8,20.3,9.4,X,289.0
1.9,8,24.6,11.8,Z,210.0
6.7,10,14.8,11.3,X,392.0
4.8,3,7.7,8.0,D,351.0
1.6,10,21.0,10.7,E,251.0
4.8,3,27.1,4.3,X,314.0
